"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",옥천초등학교,강원도 강릉시 수문길 25 (옥천동),강원도 강릉시 옥천동 111,37.756781,128.902473,강원도 강릉시,강릉경찰서,Y,9,,2019-07-09
"유치원",옥천초병설유치원,강원도 강릉시 수문길 25 (옥천동),강원도 강릉시 옥천동 111,37.756781,128.902473,강원도 강릉시,강릉경찰서,Y,6,,2019-07-09
"초등학교",명주초등학교,강원도 강릉시 강변로 86-1 (회산동),강원도 강릉시 회산동 24,37.742282,128.878150,강원도 강릉시,강릉경찰서,Y,5,,2019-07-09
"유치원",명주초병설유치원,강원도 강릉시 강변로 86-1 (회산동),강원도 강릉시 회산동 24,37.742282,128.878150,강원도 강릉시,강릉경찰서,Y,2,,2019-07-09
"초등학교",영동초등학교,강원도 강릉시 화부산로 28 (교동),강원도 강릉시 교1동 1038,37.760132,128.886762,강원도 강릉시,강릉경찰서,Y,6,,2019-07-09
"유치원",영동초병설유치원,강원도 강릉시 화부산로 28 (교동),강원도 강릉시 교1동 1038,37.760132,128.886762,강원도 강릉시,강릉경찰서,Y,6,,2019-07-09
"초등학교",남강초등학교,강원도 강릉시 경강로2310번길 7 (포남동),강원도 강릉시 포남1동 940-147,37.767454,128.914830,강원도 강릉시,강릉경찰서,Y,4,,2019-07-09
"초등학교",강동초등학교,강원도 강릉시 강동면 단경로 20,강원도 강릉시 강동면 모전리 320,37.724471,128.963188,강원도 강릉시,강릉경찰서,Y,2,,2019-07-09
"유치원",강동초병설유치원,강원도 강릉시 강동면 단경로 20,강원도 강릉시 강동면 모전리 320,37.724471,128.963188,강원도 강릉시,강릉경찰서,Y,2,,2019-07-09
"초등학교",구정초등학교,강원도 강릉시 구정면 범일로 266-14,강원도 강릉시 구정면 학산리 402,37.717554,128.891292,강원도 강릉시,강릉경찰서,Y,1,,2019-07-09
"유치원",구정초병설유치원,강원도 강릉시 구정면 범일로 266-14,강원도 강릉시 구정면 학산리 402,37.717554,128.891292,강원도 강릉시,강릉경찰서,Y,1,,2019-07-09
"초등학교",모산초등학교,강원도 강릉시 모산로224번길 3 (장현동),강원도 강릉시 장현동 55,37.731298,128.901379,강원도 강릉시,강릉경찰서,Y,3,,2019-07-09
"유치원",모산초병설유치원,강원도 강릉시 모산로224번길 3 (장현동),강원도 강릉시 장현동 55,37.731298,128.901379,강원도 강릉시,강릉경찰서,Y,3,,2019-07-09
"초등학교",송양초등학교,강원도 강릉시 성산면 위촌길 198,강원도 강릉시 성산면 위촌리 589,37.758847,128.847174,강원도 강릉시,강릉경찰서,Y,1,,2019-07-09
"초등학교",한솔초등학교,강원도 강릉시 하평2길 45 (포남동),강원도 강릉시 포남2동 1296,37.774244,128.914008,강원도 강릉시,강릉경찰서,Y,4,,2019-07-09
"유치원",한솔초병설유치원,강원도 강릉시 하평2길 45 (포남동),강원도 강릉시 포남2동 1296,37.774244,128.914008,강원도 강릉시,강릉경찰서,Y,4,,2019-07-09
"초등학교",주문진초등학교,강원도 강릉시 주문진읍 주문로 26,강원도 강릉시 주문진읍 교항리 165,37.886739,128.826434,강원도 강릉시,강릉경찰서,Y,3,,2019-07-09
"유치원",주문진초병유치원,강원도 강릉시 주문진읍 주문로 26,강원도 강릉시 주문진읍 교항리 165,37.886739,128.826434,강원도 강릉시,강릉경찰서,Y,3,,2019-07-09
"초등학교",신영초등학교,강원도 강릉시 주문진읍 해안로 2063,강원도 강릉시 주문진읍 향호리 1187-1,37.906758,128.822208,강원도 강릉시,강릉경찰서,Y,3,,2019-07-09
"유치원",신영초병설유치원,강원도 강릉시 주문진읍 해안로 2063,강원도 강릉시 주문진읍 향호리 1187-1,37.906758,128.822208,강원도 강릉시,강릉경찰서,Y,3,,2019-07-09
"초등학교",율곡초등학교,강원도 강릉시 원대로 129 (교동),강원도 강릉시 교1동 1851,37.766368,128.881446,강원도 강릉시,강릉경찰서,Y,5,,2019-07-09
"초등학교",성덕초등학교,강원도 강릉시 용지로 60 (입암동),강원도 강릉시 입암동 625-1,37.756856,128.910275,강원도 강릉시,강릉경찰서,Y,6,,2019-07-09
"유치원",성덕초병설유치원,강원도 강릉시 용지로 60 (입암동),강원도 강릉시 입암동 625-1,37.756856,128.910275,강원도 강릉시,강릉경찰서,Y,3,,2019-07-09
"초등학교",포남초등학교,강원도 강릉시 가작로287번길 20 (포남동),강원도 강릉시 포남2동 1085,37.773016,128.905733,강원도 강릉시,강릉경찰서,Y,4,,2019-07-09
"유치원",포남초병설유치원,강원도 강릉시 가작로287번길 20 (포남동),강원도 강릉시 포남2동 1085,37.773016,128.905733,강원도 강릉시,강릉경찰서,Y,4,,2019-07-09
"초등학교",교동초등학교,강원도 강릉시 율곡로2968번길 10 (교동),강원도 강릉시 교2동 310-1,37.767244,128.893135,강원도 강릉시,강릉경찰서,Y,10,,2019-07-09
