"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",삼척초교,강원도 삼척시 교동로 43,강원도 삼척시 당저동 45-1,37.449424,129.167234,강원도 삼척시청,삼척경찰서,Y,2,36,2019-06-10
"초등학교",진주초교,강원도 삼척시 사직로1길,강원도 삼척시 남양동 355,37.4330474,129.166268,강원도 삼척시청,삼척경찰서,Y,3,7,2019-06-10
"초등학교",정라초교,강원도 삼척시 정상로3길 5,강원도 삼척시 정상동 476-6,37.4457686,129.1761224,강원도 삼척시청,삼척경찰서,Y,2,16,2019-06-10
"초등학교",서부초교,강원도 삼척시 오십천로 279,강원도 삼척시 원당동 80-1,37.4397160,129.1495014,강원도 삼척시청,삼척경찰서,Y,2,18,2019-06-10
"초등학교",삼척남초교,강원도 삼척시 동해대로 3783-22,강원도 삼척시 오분동 43,37.4235431772,129.1881537054,강원도 삼척시청,삼척경찰서,Y,2,15,2019-06-10
"초등학교",중앙초교,강원도 삼척시 새천년도로 630-121,강원도 삼척시 갈천동 148-2,37.4666305,129.1612618,강원도 삼척시청,삼척경찰서,Y,1,13,2019-06-10
"초등학교",도계초교,강원도 삼척시 도계로 265,강원도 삼척시 전두리 49-1,37.2339213,129.044649,강원도 삼척시청,삼척경찰서,Y,2,7,2019-06-10
"초등학교",호산초교,강원도 삼척시 원덕읍 삼척로 462-12,강원도 삼척시 호산리 364,37.1779796,129.3349487,강원도 삼척시청,삼척경찰서,Y,1,14,2019-06-10
"초등학교",임원초교,강원도 삼척시 원덕읍 삼척로 1246,강원도 삼척시 임원리 812-2,37.2358916,129.3420559,강원도 삼척시청,삼척경찰서,Y,2,7,2019-06-10
"초등학교",근덕초교,강원도 삼척시 근덕면 삼척로 3653,강원도 삼척시 교가리 657-8,37.3806737,129.2243013,강원도 삼척시청,삼척경찰서,Y,2,14,2019-06-10
"초등학교",맹방초교,강원도 삼척시 근덕면 삼척로 3884-3,강원도 삼척시 상맹방리 518-1,37.3981162,129.2131070,강원도 삼척시청,삼척경찰서,Y,2,7,2019-06-10
"초등학교",미로초교,강원도 삼척시 미로면 미로강변로1길 10-1,강원도 삼척시 하거노리 95-1,37.414615,129.114717,강원도 삼척시청,삼척경찰서,Y,1,7,2019-06-10
"초등학교",장호초교,강원도 삼척시 근덕면 용화안길 24,강원도 삼척시 용화리 225-1,37.2886753,129.3018800,강원도 삼척시청,삼척경찰서,Y,2,7,2019-06-10
"초등학교",신동초교,강원도 삼척시 신기면 강원남부로 2997,강원도 삼척시 신기리 450-4,37.3507188,129.0817996,강원도 삼척시청,삼척경찰서,Y,3,7,2019-06-10
"초등학교",하장초교,강원도 삼척시 하장면 하장길 84,강원도 삼척시 광동리 80-20,37.3488504,128.9440033,강원도 삼척시청,삼척경찰서,Y,2,7,2019-06-10
"초등학교",오저초교,강원도 삼척시 가곡면 가곡천로 1430,강원도 삼척시 오저리 92-3,37.1468623,129.2065200,강원도 삼척시청,삼척경찰서,Y,3,7,2019-06-10
"초등학교",장원초교,강원도 삼척시 도계읍 장원길 25,강원도 삼척시 도계리 209,37.2282812,129.0552242,강원도 삼척시청,삼척경찰서,Y,2,7,2019-06-10
"초등학교",소달초교,강원도 삼척시 도계읍 소달길 54-30,강원도 삼척시 고사리 132-1,37.2756391,129.0636922,강원도 삼척시청,삼척경찰서,Y,3,7,2019-06-10
"초등학교",흥전초교,강원도 삼척시 도계읍 흥전안길 59-8,강원도 삼척시 흥전리 60-4,37.2141985228,129.0418839402,강원도 삼척시청,삼척경찰서,Y,1,7,2019-06-10
"초등학교",궁촌분교,강원도 삼척시 근덕면 궁촌길 66,강원도 삼척시 궁촌리 1137,37.3202730,129.2637709,강원도 삼척시청,삼척경찰서,Y,2,7,2019-06-10
"유치원",가야유치원,강원도 삼척시 척주로 58,강원도 삼척시 남양동 349-1,37.444003,129.1704078097,강원도 삼척시청,삼척경찰서,Y,1,15,2019-06-10
"유치원",꿈나라유치원,강원도 삼척시 도계로 265,강원도 삼척시 전두리 산 58-2,37.2339213,129.0446237,강원도 삼척시청,삼척경찰서,Y,1,7,2019-06-10
