"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",간성초등학교,강원도 고성군 간성읍 간성로 39번길 20,강원도 고성군 간성읍 신안리 200,38.377761,128.470087,강원도 고성군청,고성경찰서,Y,2,12,2018-08-20
"유치원",간성초교병설유치원,강원도 고성군 간성읍 간성로 39번길 20,강원도 고성군 간성읍 신안리 200,38.377871,128.469293,강원도 고성군청,고성경찰서,Y,2,12,2018-08-20
"초등학교",광산초등학교,강원도 고성군 간성읍 진부령로 2427,강원도 고성군 간성읍 광산리 193,38.374488,128.413443,강원도 고성군청,고성경찰서,Y,3,12,2018-08-20
"유치원",광산초교병설유치원,강원도 고성군 간성읍 진부령로 2427,강원도 고성군 간성읍 광산리 193,38.374488,128.413443,강원도 고성군청,고성경찰서,N,0,12,2018-08-20
"초등학교",명파초등학교,강원도 고성군 현내면 금강산로 840,강원도 고성군 현내면 명파리 264,38.542067,128.400976,강원도 고성군청,고성경찰서,Y,3,10,2018-08-20
"초등학교",죽왕초등학교,강원도 고성군 죽왕면 송지호로 6,강원도 고성군 죽왕면 오호리 225,38.330239,128.522797,강원도 고성군청,고성경찰서,Y,4,12,2018-08-20
"유치원",죽왕초교병설유치원,강원도 고성군 죽왕면 송지호로 6,강원도 고성군 죽왕면 오호리 225,38.329953,128.523151,강원도 고성군청,고성경찰서,N,0,12,2018-08-20
"초등학교",천진초등학교,강원도 고성군 토성면 천진1길 14,강원도 고성군 토성면 천진리 181,38.257147,128.557308,강원도 고성군청,고성경찰서,Y,4,10,2018-08-20
"유치원",천진초등학교병설유치원,강원도 고성군 토성면 천진1길 14,강원도 고성군 토성면 천진리 181,38.257147,128.557308,강원도 고성군청,고성경찰서,N,0,10,2018-08-20
"초등학교",거진초등학교,강원도 고성군 거진읍 자산길 19,강원도 고성군 거진읍 자산리 72,38.437576,128.445739,강원도 고성군청,고성경찰서,Y,4,20,2018-08-20
