"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",동해중앙초교,강원도 동해시 천곡로 35 (천곡동),강원도 동해시 천곡동 793,37.5255809,129.1093163,강원도 동해시,동해경찰서,Y,6,6,2019-09-16
"유치원",동해중앙초병설,강원도 동해시 천곡로 35 (천곡동),강원도 동해시 천곡동 793,37.5255809,129.1093163,강원도 동해시,동해경찰서,N,,6,2019-09-16
"초등학교",동해천곡초교,강원도 동해시 동굴로 33 (천곡동),강원도 동해시 천곡동 320,37.5177521,129.1078672,강원도 동해시,동해경찰서,Y,4,6,2019-09-16
"유치원",동해천곡초병설,강원도 동해시 동굴로 33 (천곡동),강원도 동해시 천곡동 320,37.5177521,129.1078672,강원도 동해시,동해경찰서,N,,6,2019-09-16
"유치원",동해송정초병설,강원도 동해시 동해역길 25 (송정동),강원도 동해시 송정동 1058,37.4948156,129.1227781,강원도 동해시,동해경찰서,N,,3,2019-09-16
"초등학교",망상초교,강원도 동해시 동해대로 6251 (망상동),강원도 동해시 망상동 353-1,37.5909231,129.0899367,강원도 동해시,동해경찰서,Y,3,3,2019-09-16
"유치원",망상초병설,강원도 동해시 동해대로 6251 (망상동),강원도 동해시 망상동 353-1,37.5909231,129.0899367,강원도 동해시,동해경찰서,N,,3,2019-09-16
"초등학교",동호초교,강원도 동해시 발한로 123 (발한동),강원도 동해시 발한동 572-2,37.5441777934,129.1001858414,강원도 동해시,동해경찰서,Y,6,6,2019-09-16
"초등학교",동해초교,강원도 동해시 봉오주택길 22 (용정동),강원도 동해시 용정동 475-3,37.5119038,129.1207021,강원도 동해시,동해경찰서,Y,3,3,2019-09-16
"유치원",동해초병설,강원도 동해시 봉오주택길 22 (용정동),강원도 동해시 용정동 475-3,37.5119038,129.1207021,강원도 동해시,동해경찰서,N,,3,2019-09-16
"초등학교",동해북평초교,강원도 동해시 오일장1길 22 (북평동),강원도 동해시 북평동 25-6,37.4821480,129.1241841,강원도 동해시,동해경찰서,Y,5,3,2019-09-16
"유치원",동해북평초병설,강원도 동해시 오일장1길 22 (북평동),강원도 동해시 북평동 25-6,37.4821480,129.1241841,강원도 동해시,동해경찰서,N,,3,2019-09-16
"초등학교",북삼초교,강원도 동해시 지양길 77 (지흥동),강원도 동해시 지흥동 124-1,37.4957962,129.1005311,강원도 동해시,동해경찰서,Y,2,6,2019-09-16
"유치원",북삼초병설,강원도 동해시 지양길 77 (지흥동),강원도 동해시 지흥동 124-1,37.4957962,129.1005311,강원도 동해시,동해경찰서,N,,6,2019-09-16
"초등학교",남호초교,강원도 동해시 평원로 120 (평릉동),강원도 동해시 평릉동 443,37.5341912,129.1129525,강원도 동해시,동해경찰서,Y,5,6,2019-09-16
"유치원",남호초병설,강원도 동해시 평원로 120 (평릉동),강원도 동해시 평릉동 443,37.5341912,129.1129525,강원도 동해시,동해경찰서,N,,6,2019-09-16
