"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",영랑초등학교/속초유치원,강원도 속초시 중앙로 331 (영랑동),강원도 속초시 영랑동 163-1,38.2179096493,128.5905983498,강원도 속초시청,속초경찰서,Y,3,25,2019-09-06
"초등학교",중앙초등학교,강원도 속초시 번영로105번길 11 (중앙동),강원도 속초시 중앙동 509-3,38.2103311468,128.5856017012,강원도 속초시청,속초경찰서,Y,5,8,2019-09-06
"초등학교",온정초등학교/병설유치원,강원도 속초시 온천로 107 (노학동),강원도 속초시 노학동 620,38.1897383028,128.5538174149,강원도 속초시청,속초경찰서,Y,4,8,2019-09-06
"초등학교",청대초등학교/병설유치원,강원도 속초시 소평로 175 (조양동),강원도 속초시 조양동 562-5,38.1919677487,128.5763232155,강원도 속초시청,속초경찰서,Y,2,16,2019-09-06
"초등학교",속초초등학교,강원도 속초시 수복로 117 (청학동),강원도 속초시 청학동 632-2,38.2025696901,128.5815976120,강원도 속초시청,속초경찰서,Y,4,20,2019-09-06
"초등학교",청호초등학교,강원도 속초시 청호로 60 (청호동),강원도 속초시 청호동 432-38,38.1959980536,128.5977568,강원도 속초시청,속초경찰서,Y,3,12,2019-09-06
"초등학교",교동초등학교,강원도 속초시 만천1길 67 (교동),강원도 속초시 교동 779-16,38.2034290021,128.5739629919,강원도 속초시청,속초경찰서,Y,7,8,2019-09-06
"초등학교",조양초등학교,강원도 속초시 동해대로 3965 (조양동),강원도 속초시 조양동 1396,38.1880863281,128.5976968954,강원도 속초시청,속초경찰서,Y,4,6,2019-09-06
"초등학교",청봉초등학교/산호유치원,강원도 속초시 조양로118번길 9 (조양동),강원도 속초시 조양동 1540-2,38.1883824288,128.5870248712,강원도 속초시청,속초경찰서,Y,3,12,2019-09-06
"초등학교",소야초등학교/병설유치원,강원도 속초시 배움터길 42 (노학동),강원도 속초시 노학동 1-36,38.1996487561,128.5667219037,강원도 속초시청,속초경찰서,Y,8,15,2019-09-06
"초등학교",설악초등학교/병설유치원,강원도 속초시 청봉로 51 (설악동),강원도 속초시 설악동 358,38.1640596339,128.5402649424,강원도 속초시청,속초경찰서,Y,4,8,2019-09-06
"초등학교",대포초등학교,강원도 속초시 동해대로 3797 (대포동),강원도 속초시 대포동 350,38.1737248528,128.6031973,강원도 속초시청,속초경찰서,Y,5,6,2019-09-06
"특수학교",청해학교,강원도 속초시 동해대로4511번길 32 (장사동),강원도 속초시 장사동 405-5,38.2196980521,128.5609904532,강원도 속초시청,속초경찰서,Y,5,20,2019-09-06
"유치원",경동대부속유치원,강원도 속초시 도리원길 5 (노학동),강원도 속초시 노학동 635-1,38.1921732737,128.5511571539,강원도 속초시청,속초경찰서,N,0,8,2019-09-06
"유치원",리라유치원,강원도 속초시 조양로21번길 4 (조양동),강원도 속초시 조양동 1310-7,38.1861114,128.5984348259,강원도 속초시청,속초경찰서,Y,3,20,2019-09-06
"어린이집",아이사랑어린이집,강원도 속초시 조양로22번길 13 (조양동),강원도 속초시 조양동 1376-35,38.1875408,128.5997165,강원도 속초시청,속초경찰서,Y,3,8,2019-09-06
"어린이집",반야어린이집,강원도 속초시 번영로179번길 9 (영랑동),강원도 속초시 영랑동 588,38.2147178561,128.5884188733,강원도 속초시청,속초경찰서,Y,5,10,2019-09-06
