"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",도촌초등학교,강원도 양구군 남면 정중앙로 259,강원도 양구군 남면 도촌리 158-1,38.080324,128.0201802,양구군청,양구경찰서,Y,1,,2018-08-30
"초등학교",방산초등학교,강원도 양구군 방산면 평화로 5121-7,강원도 양구군 방산면 현리 50-4,38.2097391,127.9416487,양구군청,양구경찰서,Y,2,,2018-08-30
"초등학교",용하초등학교,강원도 양구군 남면 정중앙로 624-7,강원도 양구군 남면 용하리 406,38.1099338,128.0330488,양구군청,양구경찰서,Y,2,,2018-08-30
"초등학교",임당초등학교,강원도 양구군 동면 금강산로 1673,강원도 양구군 동면 임당리 564,38.2015649,128.0401901,양구군청,양구경찰서,Y,2,,2018-08-30
"초등학교",죽리초등학교,강원도 양구군 남면 춘양로 2726,강원도 양구군 남면 죽리 241-2,38.0793196,127.9913415,양구군청,양구경찰서,Y,2,,2018-08-30
"초등학교",한전초등학교,강원도 양구군 양구읍 금강산로 858,강원도 양구군 양구읍 한전리 85,38.1493002,128.0140755,양구군청,양구경찰서,Y,1,,2018-08-30
"초등학교",해안초등학교,강원도 양구군 해안면 펀치볼로 1341-33,강원도 양구군 해안면 현리 208,38.289723,128.1344897,양구군청,양구경찰서,Y,3,,2018-08-30
"초등학교",양구초등학교,강원도 양구군 양구읍 양구새싹로 48,강원도 양구군 양구읍 상리 197-2,38.102374,127.9888379,양구군청,양구경찰서,Y,11,,2018-08-30
"초등학교",비봉초등학교,강원도 양구군 양구읍 관공서로 56,강원도 양구군 양구읍 하리 43,38.1105736,127.9856085,양구군청,양구경찰서,Y,9,,2018-08-30
"초등학교",원당초등학교,강원도 양구군 동면 원당길52번길 9-17,강원도 양구군 동면 원당리 636,38.1879974,128.0419801,양구군청,양구경찰서,Y,3,,2018-08-30
