"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",인구임호분교,강원도 양양군 현남면 화상천로 164,강원도 양양군 현남면 임호정리 258-2,37.9256714,128.7769121,강원도 양양군청,속초경찰서,Y,2,7,2019-06-30
"초등학교",현서분교,강원도 양양군 서면 구룡령로 2115,강원도 양양군 서면 서림리 74-1,37.9877326,128.5296978,강원도 양양군청,속초경찰서,Y,2,8,2019-06-30
"초등학교",양양초등학교,강원도 양양군 양양읍 군청길 39,강원도 양양군 양양읍 구교리 28,38.0772469,128.6220463,강원도 양양군청,속초경찰서,Y,4,7,2019-06-30
"어린이집",양양어린이집,강원도 양양군 양양읍 안산1길 36,강원도 양양군 양양읍 월리 48-2,38.0735639,128.6309610,강원도 양양군청,속초경찰서,Y,2,12,2019-06-30
"초등학교",송포초등학교,강원도 양양군 손양면 동명로 321-11,강원도 양양군 손양면 송전리 22-1,38.0895384,128.6562740,강원도 양양군청,속초경찰서,Y,2,7,2019-06-30
"초등학교",강현초등학교,강원도 양양군 강현면 진미로12번길 22,강원도 양양군 강현면 정암리 510-1,38.1496871,128.6039314,강원도 양양군청,속초경찰서,Y,3,7,2019-06-30
"초등학교",상평초등학교,강원도 양양군 서면 물윗구미길 25,강원도 양양군 서면 상평리 18,38.0734243,128.5858690,강원도 양양군청,속초경찰서,Y,2,6,2019-06-30
"초등학교",손양초등학교,강원도 양양군 손양면 손중로 202,강원도 양양군 손양면 하왕도리 140,38.0604114,128.6427655,강원도 양양군청,속초경찰서,Y,2,7,2019-06-30
"초등학교",인구초등학교,강원도 양양군 현남면 해송천로 10,강원도 양양군 현남면 인구리 27-2,37.9680435,128.7586661,강원도 양양군청,속초경찰서,Y,2,7,2019-06-30
"초등학교",광정초등학교,강원도 양양군 현북면 하조대1길 38,강원도 양양군 현북면 하광정리 193,38.0186345,128.7251572,강원도 양양군청,속초경찰서,Y,2,7,2019-06-30
"초등학교",오색초등학교,강원도 양양군 서면 설악로 1173,강원도 양양군 서면 오색리 307-1,38.0743927,128.4791078,강원도 양양군청,속초경찰서,Y,2,8,2019-06-30
"초등학교",공수전분교,강원도 양양군 서면 구룡령로 2855,강원도 양양군 서면 공수전리 31-6,38.0418063,128.5570774,강원도 양양군청,속초경찰서,Y,2,8,2019-06-30
"초등학교",현성초등학교,강원도 양양군 현북면 어성전길 114,강원도 양양군 현북면 어성전리 530,37.9520552,128.6650225,강원도 양양군청,속초경찰서,Y,2,6,2019-06-30
"초등학교",회룡초등학교,강원도 양양군 강현면 소금재길 161,강원도 양양군 강현면 회룡리 234-1,38.1352053,128.5767783,강원도 양양군청,속초경찰서,Y,2,6,2019-06-30
"초등학교",남애초등학교,강원도 양양군 현남면 갯마을길 10,강원도 양양군 현남면 남애리 554,37.9466708,128.7810085,강원도 양양군청,속초경찰서,Y,2,7,2019-06-30
