"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",영월초등학교,강원도 영월군 영월읍 하송안길 100,강원도 영월군 영월읍 하송3리 23-1,37.179200,128.471000,강원도 영월군청,영월경찰서,Y,2,,2018-08-21
"초등학교",봉래초등학교,강원도 영월군 영월읍 중앙로 168-17,강원도 영월군 영월읍 덕포리 557,37.174000,128.477900,강원도 영월군청,영월경찰서,Y,2,,2018-08-21
"유치원",봉래초등학교병설유치원,강원도 영월군 영월읍 중앙로 168-17,강원도 영월군 영월읍 덕포리 557,37.174000,128.477900,강원도 영월군청,영월경찰서,Y,2,,2018-08-21
"초등학교",내성초등학교,강원도 영월군 영월읍 내성안길 9,강원도 영월군 영월읍 영흥리 789-1,37.187200,128.476800,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"유치원",내성초등학교병설유치원,강원도 영월군 영월읍 내성안길 9,강원도 영월군 영월읍 영흥리 789-1,37.187200,128.476800,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"초등학교",구래초등학교,강원도 영월군 상동읍 교촌길 20,강원도 영월군 상동읍 구래리 102-171,37.139700,128.841600,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"유치원",구래초등학교병설유치원,강원도 영월군 상동읍 교촌길 20,강원도 영월군 상동읍 구래리 102-171,37.139700,128.841600,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"초등학교",옥동초등학교,강원도 영월군 김삿갓면 영월동로 1675-4,강원도 영월군 김삿갓면 옥동리 429,37.127000,128.572300,강원도 영월군청,영월경찰서,N,,,2018-08-21
"유치원",옥동초등학교병설유치원,강원도 영월군 김삿갓면 영월동로 1675-4,강원도 영월군 김삿갓면 옥동리 429,37.127000,128.572300,강원도 영월군청,영월경찰서,N,,,2018-08-21
"초등학교",녹전초등학교,강원도 영월군 중동면 유전길 3-2,강원도 영월군 중동면 녹전리 756-2,37.144800,128.683800,강원도 영월군청,영월경찰서,N,,,2018-08-21
"유치원",녹전초등학교병설유치원,강원도 영월군 중동면 유전길 3-2,강원도 영월군 중동면 녹전리 756-2,37.144800,128.683800,강원도 영월군청,영월경찰서,N,,,2018-08-21
"초등학교",마차초등학교,강원도 영월군 북면 밤재로 221,강원도 영월군 북면 마차리 1359,37.254600,128.455600,강원도 영월군청,영월경찰서,Y,2,,2018-08-21
"유치원",마차초등학교병설유치원,강원도 영월군 북면 밤재로 221,강원도 영월군 북면 마차리 1359,37.254600,128.455600,강원도 영월군청,영월경찰서,Y,2,,2018-08-21
"초등학교",연당초등학교,강원도 영월군 남면 연당로 17,강원도 영월군 남면 연당리 1097-4,37.183400,128.404300,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"유치원",연당초등학교병설유치원,강원도 영월군 남면 연당로 17,강원도 영월군 남면 연당리 1097-4,37.183400,128.404300,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"초등학교",신천초등학교,강원도 영월군 한반도면 신천길 4,강원도 영월군 한반도면 신천리 470-1,37.233100,128.330900,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"유치원",신천초등학교병설유치원,강원도 영월군 한반도면 신천길 4,강원도 영월군 한반도면 신천리 470-1,37.233100,128.330900,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"초등학교",쌍용초등학교,강원도 영월군 한반도면 쌍용삼거리길 4,강원도 영월군 한반도면 쌍용리 888,37.175200,128.317900,강원도 영월군청,영월경찰서,Y,4,,2018-08-21
"유치원",쌍용초등학교병설유치원,강원도 영월군 한반도면 쌍용삼거리길 4,강원도 영월군 한반도면 쌍용리 888,37.175200,128.317900,강원도 영월군청,영월경찰서,Y,4,,2018-08-21
"초등학교",주천초등학교,강원도 영월군 주천면 주천로89번길 14,강원도 영월군 주천면 주천리 1382,37.269900,128.269900,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"유치원",주천초등학교병설유치원,강원도 영월군 주천면 주천로89번길 14,강원도 영월군 주천면 주천리 1382,37.269900,128.269900,강원도 영월군청,영월경찰서,Y,1,,2018-08-21
"초등학교",무릉초등학교,강원도 영월군 수주면 중방안길 68,강원도 영월군 수주면 무릉리 893-1,37.286800,128.270200,강원도 영월군청,영월경찰서,Y,4,,2018-08-21
"유치원",무릉초등학교병설유치원,강원도 영월군 수주면 중방안길 68,강원도 영월군 수주면 무릉리 893-1,37.286800,128.270200,강원도 영월군청,영월경찰서,Y,4,,2018-08-21
"초등학교",청령포등학교,강원도 영월군 영월읍 청령포로 191,강원도 영월군 영월읍 방절리 496-2,37.177700,128.443800,강원도 영월군청,영월경찰서,Y,2,,2018-08-21
"초등학교",영월초등학교연상분교,강원도 영월군 중동면 영월로 3815-1,강원도 영월군 중동면 연상리 70-1,37.196000,128.616400,강원도 영월군청,영월경찰서,N,,,2018-08-21
"유치원",성모유치원,강원도 영월군 영월읍 금강공원길 33,강원도 영월군 영월읍 영흥리 895,37.181400,128.477100,강원도 영월군청,영월경찰서,N,,,2018-08-21
"어린이집",신일어린이집,강원도 영월군 주천면 솔치로 716,강원도 영월군 주천면 신일리 285-2,37.263800,128.259900,강원도 영월군청,영월경찰서,N,,,2018-08-21
"어린이집",원광어린이집,강원도 영월군 영월읍 중리1길 40,강원도 영월군 영월읍 덕포리 581-3,37.177000,128.481900,강원도 영월군청,영월경찰서,N,,,2018-08-21
"어린이집",꿈나라어린이집,강원도 영월군 영월읍 영월향교길 77,강원도 영월군 영월읍 영흥리 885-16,37.183400,128.478000,강원도 영월군청,영월경찰서,N,,,2018-08-21
