"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",관설초등학교,강원도 원주시 치악로 1355,강원도 원주시 관설동 1277,37.3086043,127.9762633,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",신림초등학교,강원도 원주시 치악로 34,강원도 원주시 신림면 신림리 512-2,37.2315538209,128.0786991368,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",태장초등학교,강원도 원주시 현충로 260,강원도 원주시 태장동 1002,37.3765374,127.9512067,강원도 원주시청,원주경찰서,Y,1,25,2019-05-22
"초등학교",장양초등학교,강원도 원주시 북원로 2868,강원도 원주시 태장동 1941,37.3985089,127.9539472,강원도 원주시청,원주경찰서,Y,1,25,2019-05-22
"초등학교",북원초등학교,강원도 원주시 단구로 60,강원도 원주시 단계동 796,37.3427524,127.9379592,강원도 원주시청,원주경찰서,Y,2,10,2019-05-22
"초등학교",학성초등학교,강원도 원주시 천사로 255,강원도 원주시 학성동 152-1,37.3536482,127.9504957,강원도 원주시청,원주경찰서,Y,1,20,2019-05-22
"초등학교",황둔초등학교,강원도 원주시 신림황둔로 1185,강원도 원주시 신림면 황둔리 350,37.2617617,128.1856389,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",일산초등학교,강원도 원주시 일산초교길 1,강원도 원주시 일산동 278,37.3464841,127.9419099,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",명륜초등학교,강원도 원주시 행구로 25,강원도 원주시 개운동 389,37.3421829,127.9586485,강원도 원주시청,원주경찰서,Y,2,10,2019-05-22
"초등학교",단구초등학교,강원도 원주시 단구초교길 5,강원도 원주시 단구동 106,37.3226368,127.9637231,강원도 원주시청,원주경찰서,Y,1,30,2019-05-22
"초등학교",귀래초등학교,강원도 원주시 북원로 89,강원도 원주시 귀래면 운남리 951,37.1691691,127.8835491,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",우산초등학교,강원도 원주시 우산초교길 84,강원도 원주시 우산동 262-2,37.3693511,127.9328199,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",원주중앙초등학교,강원도 원주시 남산로 181,강원도 원주시 학성동 1260,37.3527809,127.9390852,강원도 원주시청,원주경찰서,Y,2,10,2019-05-22
"초등학교",지정초등학교,강원도 원주시 지정로 103,강원도 원주시 지정면 간현리 539-1,37.3480287,127.8456715,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",금대초등학교,강원도 원주시 금대길 10,강원도 원주시 판부면 금대리 959,37.2891664,127.9966053,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",반계초등학교,강원도 원주시 원문로 2265,강원도 원주시 문막읍 반계리 1090,37.2918210,127.7905311,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",원주초등학교,강원도 원주시 봉산로 15,강원도 원주시 봉산동 1120,37.3477358,127.9592560,강원도 원주시청,원주경찰서,Y,1,20,2019-05-22
"초등학교",남원주초등학교,강원도 원주시 늘품로 28,강원도 원주시 단구동 1588-2,37.3226855,127.9512652,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",서원주초등학교,강원도 원주시 남원로469번길 61,강원도 원주시 명륜동 844,37.3273597,127.939835,강원도 원주시청,원주경찰서,Y,2,10,2019-05-22
"초등학교",원주교동초등학교,강원도 원주시 남산로48번길 57-19,강원도 원주시 명륜동 235,37.3393027610,127.9477646366,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",치악초등학교,강원도 원주시 한지공원길 77,강원도 원주시 명륜동 709,37.3314479,127.9394310,강원도 원주시청,원주경찰서,Y,2,30,2019-05-22
"초등학교",평원초등학교,강원도 원주시 금불2길 20,강원도 원주시 단계동 841,37.3496358,127.9311744,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",태봉초등학교,강원도 원주시 흥양로51번길 113,강원도 원주시 태장동 485,37.3860082,127.9564493,강원도 원주시청,원주경찰서,Y,1,20,2019-05-22
"초등학교",무실초등학교,강원도 원주시 만대로 155,강원도 원주시 무실동 1652,37.3349546,127.9218888,강원도 원주시청,원주경찰서,Y,1,20,2019-05-22
"초등학교",단관초등학교,강원도 원주시 단관초교길 14,강원도 원주시 관설동 1723,37.3172743,127.9637562,강원도 원주시청,원주경찰서,Y,1,15,2019-05-22
"초등학교",흥업초등학교,강원도 원주시 사제로 101,강원도 원주시 흥업면 흥업리 865-3,37.3073216,127.9086294,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",매지초등학교,강원도 원주시 북원로 1324,강원도 원주시 흥업면 매지리 1122-1,37.2691118,127.9065932,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",구곡초등학교,강원도 원주시 늘품로 64,강원도 원주시 단구동 982-1,37.3252434,127.9526244,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",단계초등학교,강원도 원주시 북원로 2387,강원도 원주시 단계동 82,37.3591189,127.9360898,강원도 원주시청,원주경찰서,Y,1,30,2019-05-22
"초등학교",원주반곡초등학교,강원도 원주시 동부순환로 247,강원도 원주시 반곡동 1450-1,37.3368400,127.9733454,강원도 원주시청,원주경찰서,Y,1,30,2019-05-22
"초등학교",원주삼육초등학교,강원도 원주시 북원로 1996,강원도 원주시 무실동 산139,37.3260009,127.9242271,강원도 원주시청,원주경찰서,Y,1,30,2019-05-22
"초등학교",호저초등학교,강원도 원주시 호저로 428,강원도 원주시 호저면 주산리 511,37.4116932,127.9257525,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",고산초등학교,강원도 원주시 호저로 873,강원도 원주시 호저면 고산리 260,37.4462917,127.9276887,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",산현초등학교,강원도 원주시 칠봉로 347,강원도 원주시 호저면 산현리 188,37.4251702,127.8937313,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",신평초등학교,강원도 원주시 신무로 336,강원도 원주시 지정면 신평리 681-3,37.3849136799,127.8923111995,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",문막초등학교,강원도 원주시 건등로 28-11,강원도 원주시 문막읍 문막리 237,37.3129231,127.8206007,강원도 원주시청,원주경찰서,Y,1,30,2019-05-22
"초등학교",교학초등학교,강원도 원주시 토동길 20,강원도 원주시 소초면 학곡리 666,37.4352518,128.0554523,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",동화초등학교,강원도 원주시 왕건로 83,강원도 원주시 문막읍 동화리 1534-2,37.3274784,127.8288745,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",부론초등학교,강원도 원주시 법천시장길 58,강원도 원주시 부론면 법천리 1535,37.2080708,127.7487188,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",비두초등학교,강원도 원주시 귀문로 1070,강원도 원주시 문막읍 비두리 843,37.261547,127.834868,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",만종초등학교,강원도 원주시 원문로 599,강원도 원주시 호저면 만종리 610,37.3556348,127.9020689489,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",소초초등학교,강원도 원주시 평장안골1길 15,강원도 원주시 소초면 평장리 792,37.4176024,128.0043564,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",둔둔초등학교,강원도 원주시 버덩마을길 7,강원도 원주시 소초면 둔둔리 769,37.4466132,127.9792520,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",서곡초등학교,강원도 원주시 용수골길 159,강원도 원주시 판부면 서곡리 1110,37.2981983,127.9388418,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",흥양초등학교,강원도 원주시 하초구길 6,강원도 원주시 소초면 흥양리 883,37.3808647,127.9971262,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"초등학교",만대초등학교,강원도 원주시 만대로 65,강원도 원주시 무실동 1716-2,37.3396590,127.9201775,강원도 원주시청,원주경찰서,Y,1,30,2019-05-22
"특수학교",청원,강원도 원주시 원문로137번길 34,강원도 원주시 단계동 481-4,37.354087,127.929104,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",원주큰별,강원도 원주시 건등로 28-2,강원도 원주시 문막읍 건등리 1707,37.3125509,127.8194301,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",햇빛어린이집(구 톰과제리),강원도 원주시 동화택지길 3-7,강원도 원주시 문막읍 동화리 1539-2,37.3238915,127.8302473,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",중평,강원도 원주시 평원안길 34-5,강원도 원주시 평원동 252-3,37.3506965,127.9527754,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",바오로,강원도 원주시 치악로 1755-1,강원도 원주시 개운동 255-1,37.3374841,127.9553997,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",숲속나라,강원도 원주시 무상길 45-32,강원도 원주시 단계동 573-5,37.3603179,127.9236363,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",일야미,강원도 원주시 현충로 222,강원도 원주시 태장동 949-3,37.3735357,127.950671,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",봉산,강원도 원주시 배말길 97,강원도 원주시 봉산동 816-2,37.3439869,127.9623867,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",엔젤,강원도 원주시 봉산로 103,강원도 원주시 봉산동 950 (가톨릭종합사회복지관 내),37.3449174,127.9655205,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",원주시청,강원도 원주시 시청로 1,강원도 원주시 무실동 1,37.3409214,127.9187000,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",강남키즈랜드(구 큰숲),강원도 원주시 원문로100번길 38,강원도 원주시 단계동 94-19,37.359515,127.935726,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",원주삼성,강원도 원주시 남원로602번길 34,강원도 원주시 개운동 349,37.3349602,127.9507303,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
"어린이집",원주천사,강원도 원주시 학성길 4,강원도 원주시 학성동 1074-6,37.3561535,127.9366979,강원도 원주시청,원주경찰서,Y,1,10,2019-05-22
