"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",원통초등학교,강원도 인제군 북면 원통로 129,강원도 인제군 북면 원통리 771-2,38.1201286,128.2000809,강원도 인제군청,인제경찰서,Y,4,8,2019-09-03
"초등학교",인제초등학교,강원도 인제군 인제읍 인제로 277번길 20,강원도 인제군 인제읍 합강리 329-26,38.0755373,128.1784810,강원도 인제군청,인제경찰서,Y,3,8,2019-09-03
"초등학교",인제남초등학교,강원도 인제군 인제읍 인제로 156번길 34,강원도 인제군 인제읍 상동리 279-2,38.0640088,128.1702056,강원도 인제군청,인제경찰서,Y,6,8,2019-09-03
"초등학교",어론초등학교,강원도 인제군 남면 설악로 198,강원도 인제군 남면 어론리 13,37.9325804,128.0620179,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",용대초등학교,강원도 인제군 북면 미시령로 1031,강원도 인제군 북면 용대리 13,38.1954647,128.3292947,강릉국도관리사무소,인제경찰서,Y,3,8,2019-09-03
"초등학교",부평초등학교,강원도 인제군 남면 신남로 94번길 7,강원도 인제군 남면 신남리 454-1,37.9704752,128.0838936,강원도 인제군청,인제경찰서,Y,4,8,2019-09-03
"초등학교",서화초등학교,강원도 인제군 서화면 금강로 1490,강원도 인제군 서화면 서화리 1167,38.2301171,128.2089666,강원도 도로관리사업소 북부지소,인제경찰서,Y,2,8,2019-09-03
"초등학교",기린초등학교,강원도 인제군 기린면 기린로 76,강원도 인제군 기린면 현리 13,37.9590923,128.3195457,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",서성초등학교,강원도 인제군 서화면 금강로 1801-42,강원도 인제군 서화면 서화리 1167,38.2599028,128.2096255,강원도 도로관리사업소 북부지소,인제경찰서,Y,2,8,2019-09-03
"초등학교",월학초등학교,강원도 인제군 북면 금강로 732,강원도 인제군 북면 월학리 165-2,38.1707485536,128.2093396503,강원도 도로관리사업소 북부지소,인제경찰서,Y,2,8,2019-09-03
"초등학교",가리산분교,강원도 인제군 인제읍 한석산로 1654,강원도 인제군 인제읍 가리산리 13,38.0589387,128.3244315,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",귀둔초등학교,강원도 인제군 인제읍 점봉산로 51,강원도 인제군 인제읍 귀둔리 707,38.0173945,128.3612771,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",상남초등학교(정문),강원도 인제군 상남면 내린천로 2548,강원도 인제군 상남면 상남리 13,37.8730125,128.2612489,강원도 도로관리사업소 강릉지소,인제경찰서,Y,4,8,2019-09-03
"초등학교",방동분교,강원도 인제군 기린면 조침령로 671,강원도 인제군 기린면 방동리 517-1,37.9553662,128.3740946,강원도 도로관리사업소 강릉지소,인제경찰서,Y,2,8,2019-09-03
"초등학교",원통초등학교 신덕분교,강원도 인제군 인제읍 신덕길 63,강원도 인제군 인제읍 가아리 779-1,38.1483476,128.1088288,강원도 인제군청,인제경찰서,Y,3,8,2019-09-03
"초등학교",하남초등학교,강원도 인제군 상남면 내린천로 3195,강원도 인제군 상남면 하남리 1230,37.9109472,128.2853495,강원도 인제군청,인제경찰서,Y,3,8,2019-09-03
"어린이집",예원어린이집,강원도 인제군 인제읍 인제로140번길36-11,강원도 인제군 인제읍 남북리 790-1,38.0629017204,128.1686432559,강원도 인제군청,인제경찰서,Y,3,8,2019-09-03
"어린이집",새사랑어린이집,강원도 인제군 인제읍 비봉로22번길 35,강원도 인제군 인제읍 상동리 301-6,38.0655000,128.1701635,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",한계초등학교,강원도 인제군 북면 한계1길 28,강원도 인제군 북면 한계리 1044,38.1399567239,128.2577646036,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"어린이집",서화어린이집,강원도 인제군 서화면 구구골길27,강원도 인제군 서화면 서화리 812-4,38.2440829,128.2110561,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",부평초등학교 신월분교,강원도 인제군 남면 신월로 431,강원도 인제군 남면 신월리 244,38.0282545,128.0765088,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"어린이집",신남어린이집,강원도 인제군 남면 신남로48번길 17,강원도 인제군 남면 신남리 305-3,37.9665318,128.0808424,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",기린초등학교 진동분교,강원도 인제군 기린면 설피밭길 432,강원도 인제군 기린면 진동리 133-3,38.0183378,128.4752713,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",부평초등학교(신),강원도 인제군 남면 신남로94번길 7,강원도 인제군 남면 신남리 458,37.9704752,128.0838936,강원도 인제군청,인제경찰서,Y,1,8,2019-09-03
"초등학교",용대초등학교(신),강원도 인제군 북면 미시령로 1031,강원도 인제군 북면 용대리 1025-1,38.1954647,128.3292947,강원도 인제군청,인제경찰서,Y,1,8,2019-09-03
"어린이집",기린어린이집(신),강원도 인제군 기린면 한석산로 3183,강원도 인제군 기린면 현리 482-3,37.9685324,128.3247287,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
"초등학교",상남초등학교(신),강원도 인제군 상남면 내린천로 2548,강원도 인제군 상남면 상남리 107,37.8730125,128.2612489,강원도 인제군청,인제경찰서,Y,2,8,2019-09-03
