"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",정선유치원,강원도 정선군 와평2길 11,강원도 정선군 와평2길 11,37.3701504,128.6862348,정선군,정선경찰서,N,0,6,2019-06-30
"초등학교",정선,강원도 정선군 정선읍 비봉로 15,강원도 정선군 정선읍 봉양4리,37.3816209,128.6596825,정선군,정선경찰서,Y,7,10,2019-06-30
"초등학교",봉양,강원도 정선군 정선읍 녹송7길 1,강원도 정선군 정선읍 봉양8리,37.3871503,128.6693986,정선군,정선경찰서,Y,9,7,2019-06-30
"초등학교",정선북평,강원도 정선군 북평면 서동로 2170,강원도 정선군 북평면 북평리,37.4547598,128.6742099,정선군,정선경찰서,Y,7,10,2019-06-30
"초등학교",여량,강원도 정선군 여량면 서동로 2950,강원도 정선군 여량면 여량리,37.472152,128.728146,정선군,정선경찰서,Y,3,10,2019-06-30
"초등학교",임계,강원도 정선군 임계면 송계1길 7,강원도 정선군 임계면 송계리,37.4964376,128.848468,정선군,정선경찰서,Y,5,7,2019-06-30
"초등학교",화동,강원도 정선군 화암면 그림바위길 66-20,강원도 정선군 화암면 화암1리,37.3389809,128.7874957,정선군,정선경찰서,Y,8,10,2019-06-30
"초등학교",남선,강원도 정선군 남면 칠현로 68,강원도 정선군 남면 문곡1리,37.2679576,128.7403279,정선군,정선경찰서,Y,8,10,2019-06-30
"초등학교",증산,강원도 정선군 남면 민둥산로 12,강원도 정선군 남면 무릉리,37.2542477,128.7812324,정선군,정선경찰서,Y,4,8,2019-06-30
"초등학교",사북,강원도 정선군 사북읍 사북6길 8,강원도 정선군 사북읍 사북7리,37.228302,128.8196734,정선군,정선경찰서,Y,9,5,2019-06-30
"초등학교",고한,강원도 정선군 고한읍 고한로 55,강원도 정선군 고한읍 고한리,37.2061928,128.8466802,정선군,정선경찰서,Y,5,5,2019-06-30
"초등학교",갈래,강원도 정선군 고한읍 고한로 300,강원도 정선군 고한읍 고한리,37.1949346,128.8658585,정선군,정선경찰서,Y,8,5,2019-06-30
"초등학교",예미,강원도 정선군 신동읍 의림로 327,강원도 정선군 신동읍 예미1리,37.2212001,128.6453156,정선군,정선경찰서,Y,7,10,2019-06-30
"초등학교",사음,강원도 정선군 사북읍 소금강로 3561,강원도 정선군 사북읍 사북1리,37.2285647,128.834966,정선군,정선경찰서,Y,8,10,2019-06-30
"초등학교",함백,강원도 정선군 신동읍 조동6길 17-12,강원도 정선군 신동읍 조동리,37.2158911,128.6727871,정선군,정선경찰서,Y,8,5,2019-06-30
"초등학교",남평,강원도 정선군 북평면 송석길 137,강원도 정선군 북평면 남평2리 396,37.4315235,128.6632738,정선군,정선경찰서,Y,4,7,2019-06-30
"초등학교",백전,강원도 정선군 화암면 대지산길 22,강원도 정선군 화암면 백전1리 357,37.2744171,128.8733982,정선군,정선경찰서,Y,4,5,2019-06-30
"초등학교",벽탄,강원도 정선군 정선읍 벽탄길 32,강원도 정선군 정선읍 용탄2리 697-1,37.3947963,128.601257,정선군,정선경찰서,Y,4,5,2019-06-30
