"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",오덕초등학교,강원도 철원군 동송읍 오덕로159,강원도 철원군 동송읍 오덕리 산23,38.2237034,127.232171,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",문혜초등학교,강원도 철원군 갈말읍 태봉로1556,강원도 철원군 갈말읍 문혜리 1100,38.1865542,127.3175585,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",서면초등학교,강원도 철원군 서면 자등로634,강원도 철원군 서면 자등리 686-2,38.1693275,127.4168945,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",와수초등학교,강원도 철원군 서면 와수로119,강원도 철원군 서면 와수리 1138-12,38.2360736,127.4343417,강원도 철원군,철원경찰서,Y,2,6,2017-11-16
"초등학교",김화초등학교,강원도 철원군 김화읍 김화로551,강원도 철원군 김화읍 학사리 313-1,38.252750,127.4141699,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",철원초등학교,강원도 철원군 철원읍 금학로297-18,강원도 철원군 철원읍 화지리 66-2,38.2147592,127.2114665,강원도 철원군,철원경찰서,Y,2,6,2017-11-16
"초등학교",청양초등학교,강원도 철원군 김화읍 청양로381-19,강원도 철원군 김화읍 청양리 870-2,38.2449775,127.3767593,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",동송초등학교,강원도 철원군 동송읍 금학로187번길 16-13,강원도 철원군 동송읍 이평리 836,38.2028525,127.2168346,강원도 철원군,철원경찰서,Y,3,6,2017-11-16
"초등학교",내대초등학교,강원도 철원군 갈말읍 두루미로 422-21,강원도 철원군 갈말읍 내대리 156-2,38.2060915,127.2973588,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",토성초등학교,강원도 철원군 갈말읍 토성길43,강원도 철원군 갈말읍 토성리 545-2,38.2415664,127.3448932,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",묘장초등학교,강원도 철원군 철원읍 묘장로344,강원도 철원군 철원읍 대마리 192-5,38.2639905,127.1652058,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",장흥초등학교,강원도 철원군 동송읍 태봉로2017,강원도 철원군 동송읍 장흥리 238-5,38.1927536,127.2666033,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",도창초등학교,강원도 철원군 김화읍 도창2길 7-2,강원도 철원군 김화읍 도창리 362-1,38.2673604,127.3526959,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",근남초등학교,강원도 철원군 근남면 육단2길 34,강원도 철원군 근남면 육단리 285-2,38.2391409,127.4703447,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",신철원초등학교,강원도 철원군 갈말읍 명성로139번안길 45,강원도 철원군 갈말읍 지포리 7,38.1469774,127.3053173,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"초등학교",용정초등학교,강원도 철원군 동송읍 상노2길 11,강원도 철원군 동송읍 상노리 182,38.1633977,127.2411426,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"어린이집",고려어린이집,강원도 철원군 동송읍 이평3로 150,강원도 철원군 동송읍 이평리 666-1,38.2089263,127.2221375,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"어린이집",본아미어린이집,강원도 철원군 서면 와수로86번길 3,강원도 철원군 서면 와수리 1348-4,38.2321929,127.434550,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"어린이집",아이뜨리어린이집,강원도 철원군 동송읍 이평로28,강원도 철원군 동송읍 이평리 671-15,38.210581,127.2204340,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"어린이집",아이비어린이집,강원도 철원군 동송읍 오덕로36,강원도 철원군 동송읍 오덕리 1761,38.212897,127.2268595,강원도 철원군,철원경찰서,Y,1,6,2017-11-16
"어린이집",베이비캐슬어린이집,강원도 철원군 철원읍 금학로 403,강원도 철원군 철원읍 화지리 408-10,38.223400,127.2100420,강원도 철원군,철원경찰서,N,,6,2017-11-16
"어린이집",봄빛어린이집,강원도 철원군 서면 약수로 112,강원도 철원군 서면 와수리 2382,38.245276,127.4390050,강원도 철원군,철원경찰서,N,,6,2017-11-16
"유치원",이화유치원,강원도 철원군 갈말읍 두루미로18,강원도 철원군 갈말읍 문혜리 896-11,38.1866089,127.3193702,강원도 철원군,철원경찰서,N,,6,2017-11-16
"유치원",중앙유치원,강원도 철원군 동송읍 금학로157번안길 2,강원도 철원군 동송읍 이평리 708-14,38.2030569,127.2202911,강원도 철원군,철원경찰서,N,,6,2017-11-16
"유치원",나래유치원,강원도 철원군 갈말읍 아랫삼성길 29-1,강원도 철원군 갈말읍 문혜리 1237-17,38.162066,127.317466,강원도 철원군,철원경찰서,N,,6,2017-11-16
"특수학교",꽃다지지역아동센타,강원도 철원군 서면 와수1로 98-1,강원도 철원군 서면 와수리 1223-16,38.2434474,127.431723,강원도 철원군,철원경찰서,N,,6,2017-11-16
