"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",YWCA어린이집,강원도 춘천시 동내면 학곡서1길 17-1,강원도 춘천시 동내면 학곡리 255-14,37.8324912234,127.7600646057,강원도 춘천시청,춘천경찰서,Y,,8,2019-06-25
"어린이집",강원경찰청어린이집,강원도 춘천시 동면 만천로143번길 84,강원도 춘천시 동면 만천리 560,37.8782065172,127.7642077349,강원도 춘천시청,춘천경찰서,N,,10~12,2019-06-25
"어린이집",강원도청반비어린이집,강원도 춘천시 봉의산길 37,강원도 춘천시 봉의동 4-9,37.8860667,127.7321919703,강원도 춘천시청,춘천경찰서,N,,,2019-06-25
"어린이집",근화어린이집,강원도 춘천시 소양로1가 90-1,강원도 춘천시 소양로1가 후석로 573,37.8932052,127.7282067,강원도 춘천시청,춘천경찰서,N,,8,2019-06-25
"어린이집",나래어린이집,강원도 춘천시 후만로126번길 4,강원도 춘천시 후평동 868-1,37.8770265,127.7581296,강원도 춘천시청,춘천경찰서,Y,,15~20,2019-06-25
"어린이집",다경어린이집,강원도 춘천시 신북읍 율문4길 20 (신북읍 304-1),강원도 춘천시 신북읍 율문리 304-1,37.9278113,127.7485311,강원도 춘천시청,춘천경찰서,Y,,8,2019-06-25
"어린이집",사랑샘어린이집,강원도 춘천시 윗무린개길 14-2 (퇴계동 93-1),강원도 춘천시 퇴계동 92-1,37.8515745923,127.7371406626,강원도 춘천시청,춘천경찰서,Y,,8,2019-06-25
"어린이집",사우어린이집,강원도 춘천시 충열로7번길 9 (우두동),강원도 춘천시 우두동 693-1,37.9015635922,127.7299245,강원도 춘천시청,춘천경찰서,Y,,20~25,2019-06-25
"어린이집",사회문화어린이집,강원도 춘천시 후석로440번길 9 (후평동),강원도 춘천시 후평동 257-30,37.8892657,127.7439349,강원도 춘천시청,춘천경찰서,Y,,10~12,2019-06-25
"어린이집",산내들어린이집,강원도 춘천시 거두길 5-61 (거두리 655-4),강원도 춘천시 동내면 거두리 655-4,37.8616604714,127.7607737,강원도 춘천시청,춘천경찰서,N,,20~25,2019-06-25
"어린이집",아이사랑어린이집,강원도 춘천시 행촌로 14 (퇴계동),강원도 춘천시 퇴계동 916,37.8578074231,127.7228714933,강원도 춘천시청,춘천경찰서,Y,,15~20,2019-06-25
"어린이집",연꽃어린이집,강원도 춘천시 퇴계공단1길 18,강원도 춘천시 퇴계동 862,37.8467541,127.7364700198,강원도 춘천시청,춘천경찰서,Y,,15~20,2019-06-25
"어린이집",우두나무어린이집,강원도 춘천시 우두로 130,강원도 춘천시 우두동 1086,37.911558,127.737187,강원도 춘천시청,춘천경찰서,N,,20~25,2019-06-25
"어린이집",월드비전어린이집,강원도 춘천시 근화길 95 (효자동),강원도 춘천시 효자동 373-90,37.8703025081,127.7227162529,강원도 춘천시청,춘천경찰서,N,,10~12,2019-06-25
