"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",대화초등학교,,강원도 평창군 대화면 대화리 971-1,37.497527,128.457228,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",신리초등학교,,강원도 평창군 대화면 신리 286,37.536952,128.457485,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"초등학교",가평초등학교,,강원도 평창군 대화면 하안미리 423-1,37.4483899969,128.482071222,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",봉평초등학교,,강원도 평창군 봉평면 창동리 329,37.6158868349,128.3813261219,강원도 평창군,평창경찰서,Y,9,5,2019-05-29
"초등학교",면온초등학교,,강원도 평창군 봉평면 면온리 683-1,37.5651256,128.3496864,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"초등학교",속사초등학교,,강원도 평창군 용평면 속사리 355-2,37.646069,128.491604,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",진부초등학교,,강원도 평창군 진부면 하진부리 210,37.639609,128.557107,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",계촌초등학교,,강원도 평창군 방림면 계촌리 1478-2,37.4529558,128.3044463,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",호명초등학교,,강원도 평창군 진부면 송정리 1311,37.6425398,128.5694013,강원도 평창군,평창경찰서,Y,8,5,2019-05-29
"초등학교",거문초등학교,,강원도 평창군 진부면 거문리 240,37.604881,128.531854,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"초등학교",안미초등학교,강원도 평창군 대화면 하안미3길 20,강원도 평창군 대화면 하안미리 산539,37.4614595,128.434692,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",약수초등학교,,강원도 평창군 평창읍 약수리 160,37.350909,128.3700772,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",장평초등학교,,강원도 평창군 용평면 장평리 404-1,37.5924797,128.4108250,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"유치원",연화유치원,,강원도 평창군 평창읍 중리 244-3,37.3687639,128.4016753,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"유치원",연꽃유치원,,강원도 평창군 진부면 송정리 1701-1,37.6377701,128.564918,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"초등학교",횡계초등학교,,강원도 평창군 대관령면 횡계리 302,37.676044,128.711381,강원도 평창군,평창경찰서,Y,5,5,2019-05-29
"유치원",효재유치원,,강원도 평창군 대관령면 꽃밭양지길 16-3,37.676044,128.711381,강원도 평창군,평창경찰서,N,0,5,2019-05-29
"초등학교",도성초등학교,,강원도 평창군 대관령면 유천리 759-1,37.6709682,128.5996818,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"초등학교",도암초등학교,,강원도 평창군 대관령면 차항리 55-1,37.6901029931,128.6944299423,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"유치원",메밀꽃유치원,,강원도 평창군 용평면 장평리 284-6,37.5771294,128.4214757,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
"유치원",소화유치원,,강원도 평창군 평창읍 중리 355-1,37.3689988,128.397226,강원도 평창군,평창경찰서,Y,0,5,2019-05-29
"유치원",공립평창유치원,,강원도 평창군 평창읍 하리 94,37.370114,128.392240,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"초등학교",평창초등학교,,강원도 평창군 평창읍 하리 94,37.370148,128.392207,강원도 평창군,평창경찰서,Y,5,5,2019-05-29
"초등학교",주진초등학교,,강원도 평창군 평창읍 주진리 504-2,37.393872,128.4051464,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"초등학교",미탄초등학교,,강원도 평창군 미탄면 창리 776-1,37.3419462812,128.4997327749,강원도 평창군,평창경찰서,Y,3,5,2019-05-29
"초등학교",방림초등학교,,강원도 평창군 방림면 방림리 1344,37.4281188,128.3917597,강원도 평창군,평창경찰서,Y,4,5,2019-05-29
