"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",홍천초등학교,강원도 홍천군 홍천읍 신장대리 79-100,강원도 홍천군 홍천읍 신장대리 79-100(홍천초교후문),37.691584,127.8841310,강원도 홍천군청,홍천경찰서,Y,4,,2018-07-30
"초등학교",홍천초등학교,강원도 홍천군 홍천읍 신장대리 5-2,강원도 홍천군 홍천읍 신장대리 5-2(홍천문구사거리),37.6913699,127.8853589,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",홍천초등학교,강원도 홍천군 홍천읍 마지기로 28-1,강원도 홍천군 홍천읍 희망리 59-1(구평화약국사거리),37.692495,127.8877363,강원도 홍천군청,홍천경찰서,Y,4,,2018-07-30
"초등학교",홍천초등학교,강원도 홍천군 홍천읍 희망로 24,강원도 홍천군 홍천읍 희망리 71-17도(윤혜진바이올린사거리),37.6934235,127.885417,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",석화초등학교,강원도 홍천군 홍천읍 희망리 14-2,강원도 홍천군 홍천읍 희망리 14-2도(석화초 위삼거리),37.6973839,127.8924688,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",남산초등학교,강원도 홍천군 홍천읍 연봉리 233-3,강원도 홍천군 홍천읍 연봉리 233-3(남산초 입구사거리),37.6849533,127.8762815,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",남산초등학교,강원도 홍천군 홍천읍 연봉리 493-15,강원도 홍천군 홍천읍 연봉리 493-15도(남산초 후문),37.6824388,127.8783094,강원도 홍천군청,홍천경찰서,Y,4,,2018-07-30
"초등학교",주봉초등학교,강원도 홍천군 홍천읍 결운리 275-9,강원도 홍천군 홍천읍 결운리 275-9(주봉초 앞삼거리),37.7102041,127.9145078,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",속초초등학교,강원도 홍천군 동면 속초길 14,강원도 홍천군 동면 속초리 683-4도(속초초 삼거리),37.6791585,127.9395587,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",명덕초등학교,강원도 홍천군 남면 양덕원로 117,강원도 홍천군 남면 양덕원리 240-2도(명덕초 입구),37.6208087,127.7675749,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",서석초등학교,강원도 홍천군 서석면 풍암리 234-5,강원도 홍천군 서석면 풍암리 234-5(서석초정문),37.7116552,128.1877921,강원도 홍천군청,홍천경찰서,Y,5,,2018-07-30
"초등학교",화촌초등학교,강원도 홍천군 화촌면 성산리 463-1,강원도 홍천군 화촌면 성산리 463-1(화촌초 정문앞),37.7707719,127.9674248,강원도 홍천군청,홍천경찰서,Y,4,,2018-07-30
"초등학교",구송초등학교,강원도 홍천군 화촌면 송정리 70-2,강원도 홍천군 화촌면 송정리 70-2(구송초 정문),37.7380268,127.9395188,강원도 홍천군청,홍천경찰서,Y,4,,2018-07-30
"초등학교",화계초등학교,강원도 홍천군 북방면 능평리 88-1,강원도 홍천군 북방면 능평리 88-1(화계초 정문),37.7086372,127.8482341,강원도 홍천군청,홍천경찰서,Y,4,,2018-07-30
"초등학교",매산초등학교,강원도 홍천군 남면 유치리 1519-6,강원도 홍천군 남면 유치리 1519-6(매산초 앞),37.5905116,127.8452629,강원도 홍천군청,홍천경찰서,Y,3,,2018-07-30
