"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",화천초병설유치원,강원도 화천군 화천읍 화천새싹길 57,강원도 화천군 화천읍 아리 211-2,38.104992000,127.709475000,강원도 화천군,강원도 화천경찰서,Y,1,5,2018-08-10
"초등학교",산양초등학교,강원도 화천군 상서면 영서로 7778,강원도 화천군 상서면 산양리 707,38.212988000,127.662426000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"유치원",산양초병설유지원,강원도 화천군 상서면 영서로 7778,강원도 화천군 상서면 산양리 707,38.212988000,127.661773000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"초등학교",광덕초등학교,강원도 화천군 사내면 포화로817,강원도 화천군 사내면 광덕리 329-2,38.067358000,127.494668000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"유치원",광덕초병설유치원,강원도 화천군 사내면 포화로817,강원도 화천군 사내면 광덕리 329-2,38.067358000,127.494668000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"초등학교",화천논미분교,강원도 화천군 하남면 논미1길 153,강원도 화천군 하남면 논미리 275-2,38.108996000,127.668348000,강원도 화천군,강원도 화천경찰서,Y,2,7,2018-08-10
"초등학교",유촌초등학교,강원도 화천군 간동면 파로호로 935-9,강원도 화천군 간동면 유촌리 604,38.055753000,127.791273000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"유치원",유촌초병설유치원,강원도 화천군 간동면 파로호로 935-9,강원도 화천군 간동면 유촌리 604,35.152533000,126.846775000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"초등학교",상승초등학교,강원도 화천군 상서면 평촌길 126-30,강원도 화천군 상서면 파포리  291,38.157507000,127.649768000,강원도 화천군,강원도 화천경찰서,Y,3,7,2018-08-10
"유치원",상승초병설유치원,강원도 화천군 상서면 평촌길 126-30,강원도 화천군 상서면 파포리  291,38.157069000,127.649659000,강원도 화천군,강원도 화천경찰서,Y,3,7,2018-08-10
"초등학교",상승노동분교,강원도 화천군 상서면 가둔지길 10-13,강원도 화천군 상서면 노동리 504-2,38.177077000,127.671870000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"초등학교",봉오초등학교,강원도 화천군 상서면 봉오새싹길 31,강원도 화천군 상서면 봉오리 354,38.189251000,127.599923000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"유치원",봉오초병설유치원,강원도 화천군 상서면 봉오새싹길 31,강원도 화천군 상서면 봉오리 354,38.189642000,127.599845000,강원도 화천군,강원도 화천경찰서,Y,1,7,2018-08-10
"초등학교",원천초등학교,강원도 화천군 하남면 원천새싹길 16,강원도 화천군 하남면 원천리 440,38.059525000,127.666368000,강원도 화천군,강원도 화천경찰서,Y,2,7,2018-08-10
"초등학교",화천초등학교,강원도 화천군 화천읍 화천새싹길 57,강원도 화천군 화천읍 아리 211-2,38.105682000,127.709013000,강원도 화천군,강원도 화천경찰서,Y,1,5,2018-08-10
"유치원",원천초병설유치원,강원도 화천군 하남면 원천새싹길 16,강원도 화천군 하남면 원천리 440,38.059567000,127.666445000,강원도 화천군,강원도 화천경찰서,Y,2,7,2018-08-10
"초등학교",실내초등학교,강원도 화천군 사내면 실내길 26,강원도 화천군 사내면 명월리 산28-12,38.121099000,127.531675000,강원도 화천군,강원도 화천경찰서,Y,3,7,2018-08-10
"유치원",실내초병설유치원,강원도 화천군 사내면 실내길 26,강원도 화천군 사내면 명월리 산28-12,38.121121000,127.531607000,강원도 화천군,강원도 화천경찰서,Y,3,7,2018-08-10
"초등학교",사내초등학교,강원도 화천군 사내면 사내로3길 13,강원도 화천군 사내면 사창리 361,38.069449000,127.520009000,강원도 화천군,강원도 화천경찰서,Y,2,7,2018-08-10
