"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",둔내초등학교,강원도 횡성군 둔내면 둔내로47번길 6,강원도 횡성군 둔내면 자포곡리 388-2,37.513292,128.217153,횡성군,횡성경찰서,Y,6,12,2017-11-17
"초등학교",횡성초등학교,강원도 횡성군 횡성읍 교항북로 35,강원도 횡성군 읍하리 251-2,37.487043,127.979924,횡성군,횡성경찰서,Y,10,12,2017-11-17
"초등학교",창림초등학교,강원도 횡성군 횡성읍 한우로 789,강원도 횡성군 횡성읍 추동리 3-4,37.495328,128.036421,횡성군,횡성경찰서,Y,1,10,2017-11-17
"초등학교",청일초등학교,강원도 횡성군 청일면 청정로 795,강원도 횡성군 청일면 유동리 1005-1,37.851295,128.146177,횡성군,횡성경찰서,Y,1,10,2017-11-17
"초등학교",갑천초등학교,강원도 횡성군 갑천면 청정로 262,강원도 횡성군 갑천면 매일리 705-1,37.557390,128.107670,횡성군,횡성경찰서,Y,1,12,2017-11-17
"초등학교",우천초등학교,강원도 횡성군 우천면 수남로 319,강원도 횡성군 우천면 우항리 623-1,37.461128,128.061902,횡성군,횡성경찰서,Y,2,12,2017-11-17
"초등학교",성북초등학교,강원도 횡성군 횡성읍 성북로 10,강원도 횡성군 횡성읍 읍상리 82,37.489953,127.991940,횡성군,횡성경찰서,Y,11,25,2017-11-17
"초등학교",안흥초등학교,강원도 횡성군 안흥면 서동로 1257,강원도 횡성군 안흥면 안흥리 89-1,37.420682,128.164317,횡성군,횡성경찰서,Y,1,10,2017-11-17
"초등학교",서원초등학교,강원도 횡성군 서원면 서원로 173,강원도 횡성군 서원면 창촌리 579,37.486912,127.851238,횡성군,횡성경찰서,Y,1,10,2017-11-17
"초등학교",정금초등학교,강원도 횡성군 우천면 경강로 3276,강원도 횡성군 우천면 정금리 507-4,37.504917,128.104312,횡성군,횡성경찰서,Y,1,10,2017-11-17
"초등학교",강림초등학교,강원도 횡성군 강림면 태종로강림4길 11,강원도 횡성군 강림면 강림리 1562,37.358346,128.120218,횡성군,횡성경찰서,Y,3,10,2017-11-17
"초등학교",공근초등학교,강원도 횡성군 공근면 영서로 207,강원도 횡성군 공근면 학담리 113,37.533098,127.961267,횡성군,횡성경찰서,Y,1,6,2017-11-17
"초등학교",성남초등학교,강원도 횡성군 횡성읍 횡성로 109,강원도 횡성군 횡성읍 곡교리 244-1,37.464590,127.973105,횡성군,횡성경찰서,Y,2,8,2017-11-17
"초등학교",수백초등학교,강원도 횡성군 공근면 공근남로 446,강원도 횡성군 공근면 수백리 341-3,37.533798,128.007470,횡성군,횡성경찰서,Y,1,8,2017-11-17
"초등학교",유현초등학교,강원도 횡성군 서원면 경강로 711,강원도 횡성군 서원면 유현리 362-1,37.526421,127.875343,횡성군,횡성경찰서,Y,1,12,2017-11-17
"초등학교",춘당초등학교,강원도 횡성군 청일면 청정로 1461,강원도 횡성군 청일면 춘당리 759,37.630168,128.145518,횡성군,횡성경찰서,Y,2,10,2017-11-17
"어린이집",횡성어린이집,강원도 횡성군 횡성읍 북천서로 10,강원도 횡성군 횡성읍 북천리 115-192,37.492876,127.990082,횡성군,횡성경찰서,Y,3,8,2017-11-17
"어린이집",큰빛어린이집,강원도 횡성군 횡성읍 어수로 35,강원도 횡성군 횡성읍 읍하리 385-59,37.493952,127.983066,횡성군,횡성경찰서,Y,1,8,2017-11-17
"초등학교",덕천분교,강원도 횡성군 안흥면 덕송로 23,강원도 횡성군 안흥면 소사리 588-1,37.464541,128.154121,횡성군,횡성경찰서,Y,2,10,2017-11-17
"어린이집",우천어린이집,강원도 횡성군 우천면 우항3길 9-16,강원도 횡성군 우천면 우항리 754-5,37.458857,128.064189,횡성군,횡성경찰서,Y,2,10,2017-11-17
"유치원",성모유치원,강원도 횡성군 횡성읍 삼일로 32,강원도 횡성군 횡성읍 읍상리 388,37.492318,127.987279,횡성군,횡성경찰서,Y,4,10,2017-11-17
"유치원",화성유치원,강원도 횡성군 횡성읍 북천서로 20,강원도 횡성군 횡성읍 읍상리 364,37.491830,127.989906,횡성군,횡성경찰서,Y,4,10,2017-11-17
