시설종류,대상시설명,소재지도로명주소,경도(WGS84좌표),위도(WGS84좌표),관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,소재지지번주소,보호구역도로폭,데이터기준일자
초등학교,서정초교,충청남도 당진시 신평면 거산3거리길 26-6,126.755163,36.880474,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 신평면 거산리 40,6,2015-08-24
초등학교,순성초교,충청남도 당진시 순성면 순성로 473,126.710592,36.848921,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 순성면 봉소리 59,6,2015-08-24
초등학교,북창초교,충청남도 당진시 순성면 붉은재길 68,126.764283,36.850711,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 순성면 중방리 15,6,2015-08-24
초등학교,계성초교,충청남도 당진시 당진중앙1로 290,126.6392,36.898826,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 읍내동 13,6,2015-08-24
초등학교,탑동초교,충청남도 당진시 대호만로 12,126.623059,36.898051,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 채운동 488-1,6,2015-08-24
초등학교,기지초교,충청남도 당진시 송악읍 틀모시로 659,126.697748,36.894076,충청남도 당진시,당진경찰서,설치,1,충청남도 당진시 송악읍 기지시리 153,6,2015-08-24
초등학교,전대초교,충청남도 당진시 송악읍 신평로 1185,126.749457,36.910329,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 전대리 56,6,2015-08-24
초등학교,석문초교,충청남도 당진시 석문면 다리들길 7,126.588775,36.987813,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 석문면 통정리 596-1,6,2015-08-24
초등학교,송악초교,충청남도 당진시 송악읍 송악로 663-1,126.743199,36.941301,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 중흥리 257,6,2015-08-24
초등학교,삼봉초교,충청남도 당진시 석문면 대호만로 1722,126.539172,37.013218,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 석문면 삼봉리 961,6,2015-08-24
초등학교,당진초교,충청남도 당진시 교동길 106,126.633377,36.892423,충청남도 당진시,당진경찰서,설치,1,충청남도 당진시 읍내동 211,6,2015-08-24
초등학교,합덕초교,충청남도 당진시 합덕읍 덕평로 508,126.778693,36.804772,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 합덕읍 운산리 3-8,6,2015-08-24
초등학교,성당초교,충청남도 당진시 역천로 222,126.604724,36.83764,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 사기소동 651,6,2015-08-24
초등학교,상록초교,충청남도 당진시 송악읍 송악로 1024,126.769391,36.959803,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 송악읍 부곡리 187-8,6,2015-08-24
초등학교,고대초교,충청남도 당진시 고대면 고대로 206,126.593644,36.937397,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 고대면 진관리 산17,6,2015-08-24
초등학교,도성초교,충청남도 당진시 대호지면 대호로 470,126.51341,36.933528,충청남도 당진시,당진경찰서,미설치,,충청남도 당진시 대호지면 사성리 35-9,6,2015-08-24
