"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",용남초등학교,충청남도 계룡시 신도안면 신도안1길 88,충청남도 계룡시 신도안면 남선리 957-4,36.299177,127.243254,충청남도 계룡시,논산경찰서,Y,1,20,2018-08-30
"유치원",원광유치원,충청남도 계룡시 엄사면 번영4길 3-8,충청남도 계룡시 엄사면 엄사리 252-2,36.288655,127.237149,충청남도 계룡시,논산경찰서,Y,3,10,2018-08-30
"유치원",엄사유치원,충청남도 계룡시 엄사중앙로 66,충청남도 계룡시 엄사면 엄사리 282,36.286398,127.238223,충청남도 계룡시,논산경찰서,Y,1,10,2018-08-30
"유치원",세종유치원,충청남도 계룡시 금암3길 12,충청남도 계룡시 금암동 28-7,36.272677,127.258096,충청남도 계룡시,논산경찰서,N,0,20,2018-08-30
"유치원",성모유치원,충청남도 계룡시 신도안면 신도안1길 72,충청남도 계룡시 신도안면 남선리 984-5,36.298362,127.245925,충청남도 계룡시,논산경찰서,Y,4,20,2018-08-30
"유치원",본부유치원,충청남도 계룡시 신도안면 신도안2길 95,충청남도 계룡시 신도안면 남선리 293,36.304517,127.244547,충청남도 계룡시,논산경찰서,N,0,20,2018-08-30
"초등학교",두마초등학교,충청남도 계룡시 두마면 팥거리로 160,충청남도 계룡시 두마면 두계리 60-1,36.269811,127.269507,충청남도 계룡시,논산경찰서,Y,4,20,2018-08-30
"초등학교",금암초등학교,충청남도 계룡시 장안로 104,충청남도 계룡시 금암동 191,36.270913,127.245964,충청남도 계룡시,논산경찰서,Y,2,20,2018-08-30
"초등학교",신도초등학교,충청남도 계룡시 엄사면 번영3길 82,충청남도 계룡시 엄사면 엄사리 232-92,36.281773,127.236056,충청남도 계룡시,논산경찰서,Y,4,20,2018-08-30
"초등학교",엄사초등학교,충청남도 계룡시 엄사면 번영3길 30,충청남도 계룡시 엄사면 엄사리 286,36.286398,127.238223,충청남도 계룡시,논산경찰서,Y,3,10,2018-08-30
"어린이집",파피쿠스어린이집,충청남도 계룡시 계룡대로 248,충청남도 계룡시 금암동 50-3,36.268986,127.260507,충청남도 계룡시,논산경찰서,N,0,35,2018-08-30
"어린이집",상록어린이집,충청남도 계룡시 금암로 176,충청남도 계룡시 금암동 56,36.272485,127.259111,충청남도 계룡시,논산경찰서,Y,2,20,2018-08-30
"어린이집",하나어린이집,충청남도 계룡시 엄사면 엄사중앙로 65-9,충청남도 계룡시 엄사면 엄사리 367,36.286398,127.239702,충청남도 계룡시,논산경찰서,N,0,10,2018-08-30
"어린이집",숲어린이집,충청남도 계룡시 엄사면 엄사중앙로 38-3,충청남도 계룡시 엄사면 엄사리 193-5,36.284861,127.241611,충청남도 계룡시,논산경찰서,N,0,10,2018-08-30
"어린이집",햇살어린이집,충청남도 계룡시 엄사면 전원로 62-7,충청남도 계룡시 엄사면 엄사리 304,36.286398,127.236474,충청남도 계룡시,논산경찰서,N,0,10,2018-08-30
"어린이집",연정어린이집,충청남도 계룡시 엄사면 번영7길 21,충청남도 계룡시 엄사면 엄사리 285-9,36.286934,127.238341,충청남도 계룡시,논산경찰서,N,0,10,2018-08-30
"어린이집",금암어린이집,충청남도 계룡시 두마면 팥거리로 162-9,충청남도 계룡시 두마면 두계리 74,36.268388,127.271346,충청남도 계룡시,논산경찰서,N,0,10,2018-08-30
