"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",상서초등학교,충청남도 공주시 우성면 우성길 137-37,충청남도 공주시 우성면 상서리 710-3,36.4794560831,127.0782415664,공주시,공주경찰서,Y,3,6.5,2019-09-25
"초등학교",신풍초등학교,충청남도 공주시 신풍면 신풍길 50-11,충청남도 공주시 신풍면 산정리 177-4,36.5177066045,126.9524398049,공주시,공주경찰서,Y,2,6.5,2019-09-25
"초등학교",탄천초등학교,충청남도 공주시 탄천면 통산로 168,충청남도 공주시 탄천면 삼각리 480,36.3316459951,127.0300719512,공주시,공주경찰서,Y,1,6.6,2019-09-25
"초등학교",수촌초등학교,충청남도 공주시 의당면 윗태실길 1-8,충청남도 공주시 의당면 수촌리 201-1,36.5173295003,127.1351729779,공주시,공주경찰서,N,,7,2019-09-25
"초등학교",석송초등학교,충청남도 공주시 정안면 마래섭들길 56,충청남도 공주시 정안면 전평리 28-1,36.5649246327,127.1145981680,공주시,공주경찰서,Y,3,7,2019-09-25
"초등학교",계룡초등학교,충청남도 공주시 계룡면 영규대사로 459,충청남도 공주시 계룡면 유평리 286,36.3580099217,127.1417957883,공주시,공주경찰서,N,,6.5,2019-09-25
"초등학교",봉황초등하교,충청남도 공주시 공주시 오거리길5,충청남도 공주시 봉황동 99,36.4494152787,127.1210996975,공주시,공주경찰서,N,,7~6,2019-09-25
"초등학교",신관초등학교,충청남도 공주시 번영1로 97-13,충청남도 공주시 신관동 304-9,36.4756232720,127.1388630990,공주시,공주경찰서,N,,,2019-09-25
"초등학교",정안초등학교,충청남도 공주시 정안면 정안중앙길 79,충청남도 공주시 정안면 내촌리 186,36.6023056648,127.1167322704,공주시,공주경찰서,N,,7,2019-09-25
"초등학교",우성초등학교,충청남도 공주시 우성면 동대리길 33,충청남도 공주시 우성면 동대리 375,36.4716389831,127.0484871393,공주시,공주경찰서,N,,,2019-09-25
"초등학교",교대부설초등학교,충청남도 공주시 하선길 47,충청남도 공주시 금학동 231,36.44165401,127.1178118,공주시,공주경찰서,N,,6,2019-09-25
"초등학교",반포초등학교,충청남도 공주시 하선길 47,충청남도 공주시 반포면 공암리 518-1,36.44165401,127.1178118,공주시,공주경찰서,N,,8,2019-09-25
"초등학교",학봉초등학교,충청남도 공주시 반포면 동학사로1로 131-24,충청남도 공주시 반포면 학봉리 290,36.3610725240,127.2526929718,공주시,공주경찰서,Y,3,20,2019-09-25
"초등학교",교동초등학교,충청남도 공주시 용당길 69-6,충청남도 공주시 교동 203,36.4602441162,127.1169206020,공주시,공주경찰서,N,,8,2019-09-25
"초등학교",이인초등학교,충청남도 공주시 이인면 은행길 56,충청남도 공주시 이인면 이인리 279,36.3615897673,127.0604343410,공주시,공주경찰서,N,,5,2019-09-25
"초등학교",중동초등학교,충청남도 공주시 웅진로 146-5,충청남도 공주시 중동 244-3,36.4541799638,127.1251351472,공주시,공주경찰서,N,,20,2019-09-25
"초등학교",구산초등학교,충청남도 공주시 유구읍 유구마곡사로 61-1,충청남도 공주시 유구읍 유구리 440-3,36.5519272255,126.9578282,공주시,공주경찰서,Y,1,6.6,2019-09-25
"초등학교",신월초등학교,충청남도 공주시 번영1로 193,충청남도 공주시 신관동 1-32,36.4732391405,127.1490572,공주시,공주경찰서,N,,30,2019-09-25
"초등학교",호계초등학교,충청남도 공주시 사곡면 마곡사로 149-12,충청남도 공주시 사곡면 호계리415-2,36.5076098694,127.0241833396,공주시,공주경찰서,N,,7,2019-09-25
"초등학교",경천초등학교,충청남도 공주시 계룡면 신원사로 112,충청남도 공주시 계룡면 경천리 371-1,36.3244908021,127.1496599374,공주시,공주경찰서,Y,1,6.6,2019-09-25
"초등학교",유구초등학교,충청남도 공주시 유구읍 유구초교길 12,충청남도 공주시 유구읍 석남리 189,36.5545013885,126.9497941,공주시,공주경찰서,N,,8,2019-09-25
"초등학교",의당초등학교,충청남도 공주시 의당면 의당초교길 49,충청남도 공주시 의당면 월곡리 165-2,36.5309213956,127.1539335998,공주시,공주경찰서,N,,5.5,2019-09-25
"초등학교",덕암초등학교,충청남도 공주시 유구읍 금계산로 943,충청남도 공주시 유구읍 덕곡리 3-11,36.6303232549,126.9700091903,공주시,공주경찰서,N,,7,2019-09-25
"초등학교",귀산초등학교,충청남도 공주시 우성면 귀산길 81-15,충청남도 공주시 우성면 귀산리 135,36.4999932,127.1130513435,공주시,공주경찰서,N,,3~6,2019-09-25
"초등학교",금학초등학교,충청남도 공주시 공주고담길 19,충청남도 공주시 중학동 137-2,36.4477709774,127.1250803,공주시,공주경찰서,N,,,2019-09-25
"초등학교",효표초등학교,충청남도 공주시 전진배길 313,충청남도 공주시 신기동 407,36.4288104,127.1475448408,공주시,공주경찰서,Y,2,,2019-09-25
"초등학교",마곡초등학교,충청남도 공주시 사곡면 운정길 29-10,충청남도 공주시 사곡면 운암리 460,36.558954,127.0177428995,공주시,공주경찰서,N,,,2019-09-25
