"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",금산초등학교,충청남도 금산군 금산읍 인삼로 69,충청남도 금산군 금산읍 상리 176-9,36.1037943189,127.4899110793,충청남도 금산군청,금산경찰서,Y,4,13,2019-06-10
"초등학교",금산동초등학교,충청남도 금산군 금산읍 후곤천길 145,충청남도 금산군 금산읍 중도리 102,36.1040687253,127.4985439166,충청남도 금산군청,금산경찰서,Y,3,13,2019-06-10
"초등학교",중앙초등학교,충청남도 금산군 금산읍 금산로 1427,충청남도 금산군 금산읍 상옥리 137-1,36.1007410156,127.4863740730,충청남도 금산군청,금산경찰서,Y,4,13,2019-06-10
"초등학교",추부초등학교,충청남도 금산군 추부면 하마전로 23,충청남도 금산군 추부면 마전리 412,36.1911433,127.4687819,충청남도 금산군청,금산경찰서,Y,3,7,2019-06-10
"유치원",추부초병설유치원,충청남도 금산군 추부면 하마전로 23,충청남도 금산군 추부면 마전리 412,36.1911433,127.4687819,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",금성초등학교,충청남도 금산군 금성면 진산로 370,충청남도 금산군 금성면 상가리 152-2,36.1305905884,127.4547637415,충청남도 금산군청,금산경찰서,Y,1,7,2019-06-10
"유치원",금성초병설유치원,충청남도 금산군 금성면 진산로 370,충청남도 금산군 금성면 상가리 152-2,36.1305905884,127.4547637415,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",진산초등학교,충청남도 금산군 진산면 읍내로 41,충청남도 금산군 진산면 읍내리 531,36.1436450240,127.3683374402,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"유치원",진산초병설유치원,충청남도 금산군 진산면 읍내로 41,충청남도 금산군 진산면 읍내리 531,36.1436450240,127.3683374402,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",복수초등학교,충청남도 금산군 복수면 복수로 137,충청남도 금산군 복수면 곡남리 180,36.1661077,127.3978067019,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"유치원",복수초병설유치원,충청남도 금산군 복수면 복수로 137,충청남도 금산군 복수면 곡남리 180,36.1661077,127.3978067019,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",금계분교 초등학교,충청남도 금산군 금성면 어필각로 448,충청남도 금산군 금성면 하신리 240-2,36.1612005152,127.4793412412,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"유치원",금계분교병설유치원,충청남도 금산군 금성면 어필각로 448,충청남도 금산군 금성면 하신리 240-2,36.1612005152,127.4793412412,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",남이초등학교,충청남도 금산군 남이면 진악로51,충청남도 금산군 남이면 하금리 381,36.0507092,127.4366202,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"유치원",남이초병설유치원,충청남도 금산군 남이면 진악로51,충청남도 금산군 남이면 하금리 381,36.0507092,127.4366202,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"초등학교",성대초등학교,충청남도 금산군 추부면 군북로 1402,충청남도 금산군 추부면 신평리 243-5,36.2251456,127.5098017146,충청남도 금산군청,금산경찰서,Y,3,7,2019-06-10
"유치원",성대초병설유치원,충청남도 금산군 추부면 군북로 1402,충청남도 금산군 추부면 신평리 243-5,36.2251456,127.5098017146,충청남도 금산군청,금산경찰서,Y,3,7,2019-06-10
"초등학교",신대초등학교,충청남도 금산군 복수면 복수로753,충청남도 금산군 복수면 신대리 502,36.2100113819,127.3781361550,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"유치원",신대초병설유치원,충청남도 금산군 복수면 복수로753,충청남도 금산군 복수면 신대리 502,36.2100113819,127.3781361550,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",제원초등학교,충청남도 금산군 제원면 제원3길 11,충청남도 금산군 제원면 제원리 200,36.1136487909,127.5452439487,충청남도 금산군청,금산경찰서,Y,3,7,2019-06-10
"유치원",제원초병설유치원,충청남도 금산군 제원면 제원3길 11,충청남도 금산군 제원면 제원리 200,36.1136487909,127.5452439487,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",부리초등학교,충청남도 금산군 부리면 현내로81,충청남도 금산군 부리면 양곡리 699,36.0617189,127.5549598208,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"유치원",부리초병설유치원,충청남도 금산군 부리면 현내로81,충청남도 금산군 부리면 양곡리 699,36.0617189,127.5549598208,충청남도 금산군청,금산경찰서,Y,2,7,2019-06-10
"초등학교",군북초등학교,충청남도 금산군 군북면 군북로 714,충청남도 금산군 군북면 두두리 355-1,36.1675772519,127.5273941451,충청남도 금산군청,금산경찰서,Y,3,7,2019-06-10
"유치원",군북초병설유치원,충청남도 금산군 군북면 군북로 714,충청남도 금산군 군북면 두두리 355-1,36.1675772519,127.5273941451,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",남일초등학교,충청남도 금산군 남일면 봉황로 83,충청남도 금산군 남일면 초현리 253-2,36.0435034,127.5029114063,충청남도 금산군청,금산경찰서,Y,3,7,2019-06-10
"유치원",남일초병설유치원,충청남도 금산군 남일면 봉황로 83,충청남도 금산군 남일면 초현리 253-2,36.0435034,127.5029114063,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
"초등학교",용문초등학교,충청남도 금산군 군북면 시두물길 15,충청남도 금산군 군북면 내부리 367,36.1344986,127.5024736,충청남도 금산군청,금산경찰서,Y,3,7,2019-06-10
"유치원",용문초병설유치원,충청남도 금산군 군북면 시두물길 15,충청남도 금산군 군북면 내부리 367,36.1344986,127.5024736,충청남도 금산군청,금산경찰서,N,0,7,2019-06-10
