"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",새싹어린이집,충청남도 논산시 상월면 계룡산로 475,충청남도 논산시 상월면 상도리 471-1,36.3221001,127.1765161,충청남도종합건설사업소공주지소,논산경찰서,N,0,6,2019-12-23
"초등학교",부창초등학교,충청남도 논산시 시민로397번길 10,충청남도 논산시 부창동 31,36.2000742329,127.084847,충청남도 논산시,논산경찰서,Y,1,12,2019-12-23
"초등학교",반월초등학교,충청남도 논산시 해월로 152,충청남도 논산시 반월동 130,36.20408319,127.0843418,충청남도 논산시,논산경찰서,Y,1,15,2019-12-23
"초등학교",동성초등학교,충청남도 논산시 관촉로 263,충청남도 논산시 취암동 310-1,36.2035004472,127.0924081265,충청남도 논산시,논산경찰서,Y,1,25,2019-12-23
"초등학교",논산중앙초등학교,충청남도 논산시 논산대로 269-10,충청남도 논산시 내동 1072,36.1909923086,127.0916253,충청남도 논산시,논산경찰서,Y,1,16,2019-12-23
"초등학교",내동초등학교,충청남도 논산시 중앙로 180-5,충청남도 논산시 내동 162-1,36.1855270360,127.1052605325,충청남도 논산시,논산경찰서,Y,1,20,2019-12-23
"초등학교",강경중앙초등학교,충청남도 논산시 강경읍 옥녀봉로 8,충청남도 논산시 강경읍 중앙리 155,36.1597828215,127.0191417219,충청남도 논산시,논산경찰서,Y,1,15,2019-12-23
"초등학교",산양초등학교,충청남도 논산시 강경읍 산양길 45,충청남도 논산시 강경읍 산양리 237,36.1470233,127.0214187368,충청남도 논산시,논산경찰서,Y,1,8,2019-12-23
"초등학교",황산초등학교,충청남도 논산시 강경읍 대흥로34번길 5,충청남도 논산시 강경읍 황산리 31-2,36.1577253095,127.0127489605,충청남도 논산시,논산경찰서,Y,1,4,2019-12-23
"초등학교",구자곡초등학교,충청남도 논산시 연무읍 연무로 369,충청남도 논산시 연무읍 마산리 121,36.1221031837,127.1172169650,충청남도 논산시,논산경찰서,Y,1,8,2019-12-23
"초등학교",연무초등학교,충청남도 논산시 연무읍 득안대로 527,충청남도 논산시 연무읍 금곡리 40,36.1173052698,127.0968699510,논산국토관리사무소,논산경찰서,Y,1,18,2019-12-23
"초등학교",황화초등학교,충청남도 논산시 연무읍 마봉로 31-4,충청남도 논산시 연무읍 마전리 811-17,36.0893012280,127.0893962559,충청남도 논산시,논산경찰서,Y,1,6,2019-12-23
"초등학교",연무중앙초등학교,충청남도 논산시 연무읍 연무로 211-14,충청남도 논산시 연무읍 동산리 888-6,36.1308256611,127.1029787,충청남도 논산시,논산경찰서,Y,1,8,2019-12-23
"초등학교",원봉초등학교,충청남도 논산시 성동면 성동로 552,충청남도 논산시 성동면 정지리 100,36.2117687938,127.0601810333,충청남도 논산시,논산경찰서,Y,1,8,2019-12-23
"초등학교",광석초등학교,충청남도 논산시 광석면 사계로 451,충청남도 논산시 광석면 신당리 14,36.2435835494,127.0805779715,충청남도 논산시,논산경찰서,Y,1,8,2019-12-23
"초등학교",호암초등학교,충청남도 논산시 노성면 호월로113번길 6,충청남도 논산시 노성면 호암리 312,36.3046183373,127.0873566902,충청남도 논산시,논산경찰서,Y,1,8,2019-12-23
"초등학교",상월초등학교,충청남도 논산시 상월면 백일헌로 1025-13,충청남도 논산시 상월면 신충리 25,36.2938077,127.1399244,충청남도 논산시,논산경찰서,Y,1,8,2019-12-23
