"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",대천초등학교 (대천초 병설 포함),충청남도 보령시 대천로 59,충청남도 보령시 대천동 37-2,36.3541565,126.6001996,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",한내초등학교,충청남도 보령시 보령남로 39,충청남도 보령시 명천동 431,36.3415885855,126.6020071347,보령시청,보령경찰서,Y,5,,2019-09-07
"초등학교",대남초등학교 (대남초 병설 포함),충청남도 보령시 남대천로 22,충청남도 보령시 대천동 158-2,36.3521396,126.5942855,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",청파초등학교 (청파초 병설 포함),충청남도 보령시 대천항로 235,충청남도 보령시 신흑동 835,36.3182983,126.5113608,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",청소초등학교 (청소초 병설 포함),충청남도 보령시 청소면 청소큰길 225,충청남도 보령시 청소면 진죽리 267-1,36.4516951,126.5922645,보령시청,보령경찰서,Y,4,,2019-09-07
"초등학교",청보초등학교 (청보초 병설 포함),충청남도 보령시 청라면 대청로 759,충청남도 보령시 청라면 내현리 636,36.3890680,126.6562176,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",청라초등학교 (청라초 병설 포함),충청남도 보령시 청라면 원모루길 205,충청남도 보령시 청라면 나원리 916,36.3903637,126.6724799,보령시청,보령경찰서,Y,2,,2019-09-07
"초등학교",개화초등학교 (개화초 병설 포함),충청남도 보령시 성주면 성주산로 735,충청남도 보령시 성주면 개화리 307-3,36.3068998,126.6543010,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",남포초등학교 (남포초 병설 포함),충청남도 보령시 남포면 읍성향교길 21,충청남도 보령시 남포면 읍내리 360-1,36.3050960,126.6090689,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",웅천초등학교 (웅천초 병설 포함),충청남도 보령시 웅천읍 충서로1035,충청남도 보령시 웅천읍 대천리 130,36.2403310,126.5916502,보령시청,보령경찰서,Y,5,,2019-09-07
"초등학교",주산초등학교 (주산초 병설 포함),충청남도 보령시 주산면 충서로 416,충청남도 보령시 주산면 금암리 570,36.1996444,126.6347895,보령시청,보령경찰서,Y,4,,2019-09-07
"초등학교",낙동초등학교 (낙동초 병설 포함),충청남도 보령시 천북면 천광로 421-6,충청남도 보령시 천북면 낙동리 293-5,36.4940299,126.5651957,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",송학초등학교 (송학초 병설 포함),충청남도 보령시 주교면 토정로 796-52,충청남도 보령시 주교면 송학리 110,36.3799625,126.5272017,보령시청,보령경찰서,Y,4,,2019-09-07
"초등학교",대관초등학교 (대관초 병설 포함),충청남도 보령시 대관초등길 97,충청남도 보령시 대천동 463-1,36.3571919,126.5844704,보령시청,보령경찰서,Y,6,,2019-09-07
"초등학교",관당초등학교 (관당초 병설 포함),충청남도 보령시 웅천읍 무창포로 309,충청남도 보령시 웅천읍 죽청리 121-4,36.2459275,126.5579296,보령시청,보령경찰서,Y,2,,2019-09-07
"초등학교",관창초등학교 (관창초 병설 포함),충청남도 보령시 주교면 한술1길 17,충청남도 보령시 주교면 관창리 130-3,36.3852390,126.5832422,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",오천초등학교 (오천초 병설 포함),충청남도 보령시 오천면 충청수영로 822,충청남도 보령시 오천면 소성리 665-1,36.4384201,126.5231299,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",청룡초등학교 (청룡초 병설 포함),충청남도 보령시 대해로 646,충청남도 보령시 신흑동 350,36.3196067,126.5383650,보령시청,보령경찰서,Y,4,,2019-09-07
"초등학교",옥계초등학교 (옥계초 병설 포함),충청남도 보령시 청라면 죽성로 681,충청남도 보령시 청라면 옥계리 308,36.4118562,126.6453884,보령시청,보령경찰서,Y,2,,2019-09-07
"초등학교",동대초등학교 (동대초 병설 포함),충청남도 보령시 한내로터리길 137-12,충청남도 보령시 동대동 319-118,36.3525260,126.6144811,보령시청,보령경찰서,Y,4,,2019-09-07
"초등학교",명천초등학교 (명천초 공립유치원 포함),충청남도 보령시 주공로 119,충청남도 보령시 명천동 325-1,36.3390045,126.6107396,보령시청,보령경찰서,Y,5,,2019-09-07
"초등학교",미산초등학교 (미산초 병설 포함),충청남도 보령시 미산면 판미로 1462-7,충청남도 보령시 미산면 도화담리 94,36.2883982,126.6768231,보령시청,보령경찰서,Y,1,,2019-09-07
"초등학교",월전초등학교 (월전초 병설 포함),충청남도 보령시 남포면 곡촌길 11,충청남도 보령시 남포면 양기리 113,36.2715378,126.5679323,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",천북초등학교 (천북초 병설 포함),충청남도 보령시 천북면 하궁길 45,충청남도 보령시 천북면 하만리 246-5,36.4818826576,126.531689094,보령시청,보령경찰서,Y,2,,2019-09-07
"초등학교",성주초등학교 (성주초 병설 포함),충청남도 보령시 성주면 성주초교길 8,충청남도 보령시 성주면 성주리 117,36.3424624555,126.6534124584,보령시청,보령경찰서,Y,2,,2019-09-07
"초등학교",주포초등학교 (주포초 병설 포함),충청남도 보령시 주포면 보령읍성길 87-22,충청남도 보령시 주포면 보령리 170-4,36.4159833,126.5907039,보령시청,보령경찰서,Y,3,,2019-09-07
"초등학교",대창초등학교 (대창초 병설 포함),충청남도 보령시 웅천읍 방축길 90-43,충청남도 보령시 웅천읍 대창리 181,36.2320916,126.6063732,보령시청,보령경찰서,Y,7,,2019-09-07
"유치원",상아유치원,충청남도 보령시 봉황로 91,충청남도 보령시 죽정동 727,36.3603948,126.5983096,보령시청,보령경찰서,Y,1,,2019-09-07
"유치원",제일유치원,충청남도 보령시 대고로 20,충청남도 보령시 죽정동 544-2,36.3630662,126.6085148,보령시청,보령경찰서,Y,2,,2019-09-07
"유치원",신혜유치원,충청남도 보령시 보령북로 86-13,충청남도 보령시 대천동 143-54,36.3535608,126.5967443,보령시청,보령경찰서,N,0,,2019-09-07
"유치원",창미유치원,충청남도 보령시 주교면 토정로 218,충청남도 보령시 주교면 관창리 815-4,36.3666480573,126.5706667322,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",아이꿈터어린이집,충청남도 보령시 한내여중길 41,충청남도 보령시 동대동 60-1,36.3473065,126.6181517,보령시청,보령경찰서,Y,4,,2019-09-07
"어린이집",대한어린이집,충청남도 보령시 동현로 23,충청남도 보령시 동대동 576-3,36.3513958,126.6105150,보령시청,보령경찰서,Y,3,,2019-09-07
"어린이집",우주어린이집,충청남도 보령시 동현로 18,충청남도 보령시 동대동 1512,36.3511970,126.6094591,보령시청,보령경찰서,Y,1,,2019-09-07
"어린이집",흑포어린이집,충청남도 보령시 흑포1길 27,충청남도 보령시 신흑동 172-2,36.3178571,126.5364945,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",성모어린이집,충청남도 보령시 봉황로 32,충청남도 보령시 죽정동 710-1,36.3572629,126.6030574,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",리라어린이집,충청남도 보령시 청룡재길 52,충청남도 보령시 신흑동 1290-1,36.3165139,126.5186060,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",제일어린이집,충청남도 보령시 원동1길 9,충청남도 보령시 대천동 154-6,36.3518018,126.5959838,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",중앙어린이집,충청남도 보령시 천변남길 124,충청남도 보령시 궁촌동 5-8,36.3454206,126.5973683,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",보령어린이집,충청남도 보령시 웅천읍 대창증산로 11-14,충청남도 보령시 웅천읍 대창리 283-4,36.2238136,126.6047071,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",별샘어린이집,충청남도 보령시 궁촌1길 42,충청남도 보령시 궁촌동 30-75,36.3423110,126.5960974,보령시청,보령경찰서,Y,1,,2019-09-07
"어린이집",신혜어린이집,충청남도 보령시 남대천로 75,충청남도 보령시 대천동 297-7,36.3470210,126.5929204,보령시청,보령경찰서,Y,0,,2019-09-07
"어린이집",화랑어린이집,,충청남도 보령시 동대동 1856,36.34561086,126.6038932899,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",꿈나래어린이집,충청남도 보령시 작은오랏4길 18,충청남도 보령시 동대동 1778,36.3462547,126.6051913,보령시청,보령경찰서,Y,4,,2019-09-07
"어린이집",성주어린이집,충청남도 보령시 성주면 화장골길 57-37,충청남도 보령시 성주면 성주리 224-8,36.3334709,126.6542662,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",동산어린이집,충청남도 보령시 주교면 울계2길 21-31,충청남도 보령시 주교면 주교리 242,36.3908754,126.5688450,보령시청,보령경찰서,Y,1,,2019-09-07
"어린이집",보령오천어린이집,충청남도 보령시 오천면 솟재길 229,충청남도 보령시 오천면 소성리 260-2,36.4322751,126.5237181,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",예일어린이집,충청남도 보령시 대청로 151,충청남도 보령시 동대동 701-7,36.3554765,126.6099857,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",포키즈 어린이집,충청남도 보령시 대천로 143,충청남도 보령시 죽정동 437-7,36.3581246766,126.6067672652,보령시청,보령경찰서,Y,2,,2019-09-07
"어린이집",샛별 어린이집,충청남도 보령시 지장골길 110-16,충청남도 보령시 죽정동 674-5,36.3604731,126.6017599,보령시청,보령경찰서,Y,5,,2019-09-07
"어린이집",새빛누리 어린이집,충청남도 보령시 보령북로 162,충청남도 보령시 대천동 402-73,36.3562506,126.5886164,보령시청,보령경찰서,Y,4,,2019-09-07
"어린이집",보령 공립 행복 어린이집,충청남도 보령시 보령북로 74,충청남도 보령시 대천동 129-2,36.3528167,126.5980734,보령시청,보령경찰서,Y,3,,2019-09-07
