"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",부여초등학교,충청남도 부여군 부여읍 부소로 105-10,충청남도 부여군 부여읍 쌍북리 228-1,36.286193,126.9227594,충청남도 부여군,부여경찰서,Y,3,,2018-10-01
"초등학교",백제초등학교,충청남도 부여군 부여읍 계백로 321,충청남도 부여군 부여읍 동남리 421,36.2772576,126.915716,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",규암초등학교,충청남도 부여군 규암면 계백로 3,충청남도 부여군 규암면 반산리 51,36.2752593,126.880192,충청남도 부여군,부여경찰서,Y,2,,2018-10-01
"초등학교",홍산초등학교,충청남도 부여군 홍산면 홍산로111번길 7,충청남도 부여군 홍산면 북촌리 148,36.2177913,126.7620357,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",외산초등학교,충청남도 부여군 외산면 만수로 421,충청남도 부여군 외산면 장항리 211-1,36.3153948,126.7156867,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",옥산초등학교,충청남도 부여군 옥산면 대백제로 330,충청남도 부여군 옥산면 안서리 368-2,36.1906569,126.7327341,충청남도 부여군,부여경찰서,Y,,,2018-10-01
"초등학교",송간초등학교,충청남도 부여군 부여읍 삼충로272번길 5,충청남도 부여군 부여읍 가증리 1,36.3075908,126.9575183,충청남도 부여군,부여경찰서,Y,2,,2018-10-01
"초등학교",양화초등학교,충청남도 부여군 양화면 충절로 215,충청남도 부여군 양화면 족교리 201-2,36.1281987,126.8569084,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",내산초등학교,충청남도 부여군 내산면 성충로 906,충청남도 부여군 내산면 운치리 442-6,36.2815341,126.7773144,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",궁남초등학교,충청남도 부여군 부여읍 계백로 238-6,충청남도 부여군 부여읍 동남리 217-1,36.275483,126.906401,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",충화초등학교,충청남도 부여군 충화면 팔충로 699,충청남도 부여군 충화면 천당리 463-1,36.1829536,126.8146111,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",인세초등학교,충청남도 부여군 세도면 인세로 40-3,충청남도 부여군 세도면 귀덕리 503,36.1665859,126.9729203,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",은산초등학교,충청남도 부여군 은산면 충의로 729,충청남도 부여군 은산면 신대리 333,36.3138643,126.8546962,충청남도 부여군,부여경찰서,Y,,,2018-10-01
"초등학교",마정초등학교,충청남도 부여군 남면 마정로 7-9,충청남도 부여군 남면 마정리 811,36.2177428,126.8390573,충청남도 부여군,부여경찰서,Y,3,,2018-10-01
"초등학교",대왕초등학교,충청남도 부여군 부여읍 금성로 150,충청남도 부여군 부여읍 가탑리 377-1,36.2684495,126.9279096,충청남도 부여군,부여경찰서,Y,2,,2018-10-01
"초등학교",석양초등학교,충청남도 부여군 석성면 증산로39번길 31,충청남도 부여군 석성면 증산리 1271-2,36.2538379,126.9987524,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",백강초등학교,충청남도 부여군 규암면 백제문로251번길 20,충청남도 부여군 규암면 오수리 208,36.2964766,126.8912329,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",구룡초등학교,충청남도 부여군 구룡면 태양로 25,충청남도 부여군 구룡면 태양리 68-1,36.253544,126.8140303,충청남도 부여군,부여경찰서,Y,2,,2018-10-01
"초등학교",용당초등학교,충청남도 부여군 구룡면 용당로2번길 73,충청남도 부여군 구룡면 용당리 629,36.2366526,126.8260669,충청남도 부여군,부여경찰서,Y,2,,2018-10-01
"초등학교",임천초등학교,충청남도 부여군 임천면 성흥로97번길 15,충청남도 부여군 임천면 군사리 252,36.1910918,126.8933836,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",석성초등학교,충청남도 부여군 석성면 석성로 113-8,충청남도 부여군 석성면 석성리 745-1,36.2234606,126.9890632,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",초촌초등학교,충청남도 부여군 초촌면 초촌로 55,충청남도 부여군 초촌면 응평리 80,36.2627268,127.0241393,충청남도 부여군,부여경찰서,Y,,,2018-10-01
"초등학교",장암초등학교,충청남도 부여군 장암면 석동로 112,충청남도 부여군 장암면 석동리 39-2,36.2414571,126.8953993,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
"초등학교",합송초등학교,충청남도 부여군 규암면 흥수로561번길 8,충청남도 부여군 규암면 합송리 986-1,36.266125,126.845725,충청남도 부여군,부여경찰서,Y,2,,2018-10-01
"유치원",에덴어린이집,충청남도 부여군 외산면 만수로 216-15,충청남도 부여군 외산면 만수리 1-1,36.3009487,126.7064775,충청남도 부여군,부여경찰서,Y,,,2018-10-01
"초등학교",세도초등학교,충청남도 부여군 세도면 세도로 68,충청남도 부여군 세도면 청송리 466-3,36.1752723,126.947495,충청남도 부여군,부여경찰서,Y,1,,2018-10-01
