"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",예천초등학교,충청남도 서산시 예천1로 3-21,충청남도 서산시 예천동 78-2,36.7699656858,126.4497414707,충청남도 서산시청,서산경찰서,Y,5,10,2019-01-01
"초등학교",예천초등학교,충청남도 서산시 예천1로 3-21,충청남도 서산시 예천동 1331,36.7699656858,126.4497414707,충청남도 서산시청,서산경찰서,Y,4,10,2019-01-01
"초등학교",동문초등학교,충청남도 서산시 쌍연북2로 31,충청남도 서산시 동문동 1-44,36.7881940184,126.4665326758,충청남도 서산시청,서산경찰서,Y,5,8,2019-01-01
"초등학교",동문초등학교,충청남도 서산시 쌍연북2로 31,충청남도 서산시 동문동 1-44,36.7881940184,126.4665326758,충청남도 서산시청,서산경찰서,Y,4,8,2019-01-01
"초등학교",서림초등학교,충청남도 서산시 덕지천로 104,충청남도 서산시 석남동 104-6,36.7678728942,126.4602713427,충청남도 서산시청,서산경찰서,Y,3,25,2019-01-01
"초등학교",학돌초등학교,충청남도 서산시 부춘1로 35,충청남도 서산시 읍내동 628,36.7851306205,126.4445603929,충청남도 서산시청,서산경찰서,Y,3,15,2019-01-01
"초등학교",학돌초등학교,충청남도 서산시 부춘1로 35,충청남도 서산시 읍내동 628,36.7851306205,126.4445603929,충청남도 서산시청,서산경찰서,Y,1,15,2019-01-01
"초등학교",대산초등학교,충청남도 서산시 대산읍 구진로 40-5,충청남도 서산시 대산읍 대산리 96-3,36.9402134749,126.4349323258,충청남도 서산시청,서산경찰서,Y,4,8,2019-01-01
"초등학교",운산초등학교,충청남도 서산시 운산면 운암로 1037,충청남도 서산시 운산면 용장리 712,36.8118231150,126.5824713687,충청남도 서산시청,서산경찰서,Y,3,12,2019-01-01
"초등학교",고북초등학교,충청남도 서산시 고북면 고북3로 19,충청남도 서산시 고북면 기포리 293-7,36.6673943069,126.5297934788,충청남도 서산시청,서산경찰서,Y,3,12,2019-01-01
"초등학교",서산초등학교,충청남도 서산시 중앙로 38-1,충청남도 서산시 동문동 904-16,36.7800695999,126.4553823482,충청남도 서산시청,서산경찰서,Y,3,15,2019-01-01
"초등학교",서산초등학교,충청남도 서산시 중앙로 38-1,충청남도 서산시 동문동 910-43,36.7800573,126.4553823482,충청남도 서산시청,서산경찰서,Y,1,6,2019-01-01
"초등학교",부춘초등학교,충청남도 서산시 양유정3로 9,충청남도 서산시 읍내동 869,36.7794297912,126.4456231595,충청남도 서산시청,서산경찰서,Y,4,12,2019-01-01
"초등학교",부춘초등학교,충청남도 서산시 양유정3로 9,충청남도 서산시 읍내동 789-19,36.7794297912,126.4456231595,충청남도 서산시청,서산경찰서,Y,1,15,2019-01-01
"초등학교",서동초등학교,충청남도 서산시 동문동 쌍연남1로 19-5,충청남도 서산시 동문동 1261,36.7815365,126.4671982,충청남도 서산시청,서산경찰서,Y,4,12,2019-01-01
"초등학교",서동초등학교,충청남도 서산시 동문동 쌍연남1로 19-5,충청남도 서산시 동문동 1261,36.7833216,126.4676472,충청남도 서산시청,서산경찰서,Y,1,12,2019-01-01
"초등학교",석림초등학교,충청남도 서산시 동서1로 41-6,충청남도 서산시 석림동 460-3,36.7698747014,126.4653603399,충청남도 서산시청,서산경찰서,Y,5,20,2019-01-01
"초등학교",부석초등학교,충청남도 서산시 부석면 취평2길 37-6,충청남도 서산시 부석면 취평리 368-15,36.7169968781,126.3923503299,충청남도 서산시청,서산경찰서,Y,4,12,2019-01-01
"초등학교",음암초등학교,충청남도 서산시 음암면 도당로 5,충청남도 서산시 음암면 도당리 847-2,36.8008435513,126.5193379801,충청남도 서산시청,서산경찰서,Y,5,15,2019-01-01
"초등학교",명지초등학교,충청남도 서산시 대산읍 명지3로 25,충청남도 서산시 대산읍 대로리 278-2,36.9716878782,126.4100652558,충청남도 서산시청,서산경찰서,Y,5,8,2019-01-01
"초등학교",대진초등학교,충청남도 서산시 대산읍 기은아섬길 16,충청남도 서산시 대산읍 기은리 598-46,36.9775842475,126.3844579577,충청남도 서산시청,서산경찰서,Y,3,12,2019-01-01
"초등학교",오산초등학교,충청남도 서산시 덕지천로 436,충청남도 서산시 오남동 305-6,36.7455945,126.4823877343,충청남도 서산시청,서산경찰서,Y,3,10,2019-01-01
