"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",서남초등학교,충청남도 서천군 마서면 마서로 260-12,,36.0590014749,126.6800634815,충청남도 서천군청,서천경찰서,Y,1,6,2019-09-30
"유치원",비인초등학교병설유치원,충청남도 서천군 비인면 비인로 192,,36.1424435544,126.6020332407,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"초등학교",비인초등학교,충청남도 서천군 비인면 비인로 192,,36.1424435544,126.6020332407,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"유치원",부내초등학교병설유치원,충청남도 서천군 종천면 충서로363번길 23-1,,36.102678,126.6467529910,충청남도 서천군청,서천경찰서,Y,1,8,2019-09-30
"초등학교",부내초등학교,충청남도 서천군 종천면 충서로363번길 23-1,,36.102678,126.6467529910,충청남도 서천군청,서천경찰서,Y,1,8,2019-09-30
"유치원",문산초등학교병설유치원,충청남도 서천군 문산면 신농길 26-29,,36.1436438261,126.7516043893,충청남도 서천군청,서천경찰서,Y,1,4,2019-09-30
"초등학교",문산초등학교,충청남도 서천군 문산면 신농길 26-29,,36.1436438261,126.7516043893,충청남도 서천군청,서천경찰서,Y,1,4,2019-09-30
"유치원",마산초등학교병설유치원,충청남도 서천군 마산면 삼일로 327,,36.1210688877,126.7946453801,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"초등학교",마산초등학교,충청남도 서천군 마산면 삼일로 327,,36.1210688877,126.7946453801,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"유치원",마동초등학교병설유치원,충청남도 서천군 마서면 원송로 229,,36.0249318457,126.7144163600,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"초등학교",마동초등학교,충청남도 서천군 마서면 원송로 229,,36.0249318457,126.7144163600,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"유치원",기산초등학교병설유치원,충청남도 서천군 기산면 기산길 107,,36.0744157770,126.7676128220,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"초등학교",기산초등학교,충청남도 서천군 기산면 기산길 107,,36.0744157770,126.7676128220,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"유치원",화양초등학교병설유치원,충청남도 서천군 화양면 화산로 64,,36.043235,126.7762401705,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"초등학교",화양초등학교,충청남도 서천군 화양면 화산로 64,,36.043235,126.7762401705,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"유치원",한산초등학교병설유치원,충청남도 서천군 한산면 한마로 48,,36.0859587503,126.8040055010,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"초등학교",한산초등학교,충청남도 서천군 한산면 한마로 48,,36.0859587503,126.8040055010,충청남도 서천군청,서천경찰서,Y,1,7,2019-09-30
"유치원",장항중앙초등학교병설유치원,충청남도 서천군 장항읍 장항로121번길 7,,36.0133624336,126.6906530271,충청남도 서천군청,서천경찰서,Y,1,5,2019-09-30
"초등학교",장항중앙초등학교,충청남도 서천군 장항읍 장항로121번길 7,,36.0133624336,126.6906530271,충청남도 서천군청,서천경찰서,Y,1,5,2019-09-30
"유치원",장항초등학교병설유치원,충청남도 서천군 장항읍 성주길 6,,36.0205640322,126.7001921509,충청남도 서천군청,서천경찰서,Y,1,8,2019-09-30
"초등학교",장항초등학교,충청남도 서천군 장항읍 성주길 6,,36.0205640322,126.7001921509,충청남도 서천군청,서천경찰서,Y,1,8,2019-09-30
"유치원",오성초등학교병설유치원,충청남도 서천군 판교면 종판로857번길 13,,36.1550001,126.6834210191,충청남도 서천군청,서천경찰서,Y,1,4,2019-09-30
"초등학교",오성초등학교,충청남도 서천군 판교면 종판로857번길 13,,36.1550001,126.6834210191,충청남도 서천군청,서천경찰서,Y,1,4,2019-09-30
"유치원",시초초등학교병설유치원,충청남도 서천군 시초면 시초북로 21,,36.1214078772,126.750947,충청남도 서천군청,서천경찰서,Y,1,5,2019-09-30
"초등학교",시초초등학교,충청남도 서천군 시초면 시초북로 21,,36.1214078772,126.750947,충청남도 서천군청,서천경찰서,Y,1,5,2019-09-30
"유치원",송석초등학교병설유치원,충청남도 서천군 마서면 송신로 432,,36.0730270372,126.643927,충청남도 서천군청,서천경찰서,Y,1,6,2019-09-30
"초등학교",송석초등학교,충청남도 서천군 마서면 송신로 432,,36.0730270372,126.643927,충청남도 서천군청,서천경찰서,Y,1,6,2019-09-30
"유치원",송림초등학교병설유치원,충청남도 서천군 장항읍 옥도로 14,,36.029386,126.683807,충청남도 서천군청,서천경찰서,Y,1,6,2019-09-30
