"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",천안초등학교(병설유치원 포함),충청남도 천안시 동남구 중앙로 169,,36.8141054691,127.1525441756,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안중앙초등학교(병설유치원 포함),충청남도 천안시 동남구 영성로 73,,36.8052996,127.1488914599,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안남산초등학교(병설유치원 포함),충청남도 천안시 동남구 버들1길 30,,36.8052476984,127.1538309772,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안성정초등학교,충청남도 천안시 서북구 성정7길 3,,36.8153101114,127.1402139176,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안일봉초등학교,충청남도 천안시 동남구 다가2길 3,,36.799702,127.1395355787,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",환서초등학교(병설유치원 포함),충청남도 천안시 서북구 한들2로 34-41,,36.8289039486,127.1225323396,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안부대초등학교(병설유치원 포함),충청남도 천안시 서북구 공대길 37,,36.8489467275,127.1518778379,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안업성초등학교(병설유치원 포함),충청남도 천안시 서북구 업성5길 20,,36.8613877411,127.1413432124,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안청수초등학교(병설유치원 포함),충청남도 천안시 동남구 청수로 35-3,,36.7889303885,127.1509929751,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안신안초등학교(병설유치원 포함),충청남도 천안시 동남구 원성25길 21,,36.8141343,127.1626757032,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안안서초등학교(병설유치원 포함),충청남도 천안시 동남구 중암3길 10,,36.8322939707,127.1756775,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안봉명초등학교(병설유치원 포함),충청남도 천안시 동남구 봉명2길 11,,36.8052709146,127.1346912439,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안구성초등학교(병설유치원 포함),충청남도 천안시 동남구 청수로 126,,36.7929610902,127.1585928274,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안서초등학교,충청남도 천안시 서북구 서부16길 27,,36.8231864740,127.1396454402,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안봉서초등학교(병설유치원 포함),충청남도 천안시 동남구 봉서10길 12,,36.8125523033,127.1310953374,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안미라초등학교(병설유치원 포함),충청남도 천안시 서북구 미라2길 13,,36.8008229467,127.1282426402,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안쌍용초등학교(병설유치원 포함),충청남도 천안시 서북구 쌍용6길 9,,36.8010885603,127.1224611208,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안신부초등학교,충청남도 천안시 동남구 터미널5길 30,,36.8227297,127.1601651441,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안신용초등학교,충청남도 천안시 동남구 새말1길 29,,36.7907338957,127.1317169411,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안용암초등학교,충청남도 천안시 서북구 월봉로 147,,36.8037209468,127.1177633848,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안월봉초등학교,충청남도 천안시 서북구 월봉4로 120-8,,36.7965180617,127.1153052538,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안부성초등학교,충청남도 천안시 서북구 부성1길 16,,36.8352431549,127.1366442,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안신촌초등학교(병설유치원 포함),충청남도 천안시 동남구 신촌4로 9,,36.7874517345,127.1236057,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안용곡초등학교,충청남도 천안시 동남구 새말1길 73,,36.7868174,127.1316834580,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안백석초등학교,충청남도 천안시 서북구 백석3로 98,,36.8203218009,127.1225231400,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안오성초등학교,충청남도 천안시 서북구 오성5길 23,,36.8314339512,127.1296209535,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안두정초등학교,충청남도 천안시 서북구 두정역서1길 10,,36.8362326479,127.1471031,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안수곡초등학교,충청남도 천안시 서북구 수곡로 19-32,,36.7902853616,127.1230982261,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안불당초등학교,충청남도 천안시 서북구 불당4로 39-21,,36.8058489340,127.1087614630,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안서당초등학교,충청남도 천안시 서북구 불당11로 63,,36.8039377489,127.1135055244,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안신대초등학교,충청남도 천안시 서북구 성정두정로 130,,36.8370491133,127.1426795610,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안와촌초등학교,충청남도 천안시 서북구 와촌4길 16,,36.8059652726,127.1449930720,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안용소초등학교(병설유치원 포함),충청남도 천안시 동남구 일봉로 82-18,,36.7894568428,127.1358780344,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안청룡초등학교,충청남도 천안시 동남구 풍세로 801-28,,36.7813570476,127.1394933376,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안삼거리초등학교,충청남도 천안시 동남구 충절로 340,,36.7897430299,127.1633903394,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안쌍정초등학교,충청남도 천안시 서북구 충무로 5-44,,36.7872910197,127.1149388,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안청당초등학교(병설유치원 포함),충청남도 천안시 동남구 청당2길 94,,36.7800447289,127.1515394,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안새샘초등학교(병설유치원 포함),충청남도 천안시 동남구 통정9로 58,,36.7709967452,127.1309259855,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안가온초등학교(병설유치원 포함),충청남도 천안시 동남구 청수14로 21,,36.7854512656,127.1487868,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안차암초등학교(병설유치원 포함),충청남도 천안시 서북구 3공단6로 85-20,,36.8445955338,127.1059506029,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안불무초등학교(병설유치원 포함),충청남도 천안시 서북구 불당23로 29,,36.81967182,127.104912,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안아름초등학교,충청남도 천안시 서북구 불당27길 7,,36.8131175575,127.1023208,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",풍세초등학교(병설유치원 포함),충청남도 천안시 서북구 한들2로 33,,36.82532954,127.117792,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",용정초등학교(병설유치원 포함),충청남도 천안시 동남구 풍세면 용정길 8-7,,36.7452139341,127.1013931615,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",미죽초등학교(병설유치원 포함),충청남도 천안시 동남구 풍세면 풍세2길 5,,36.7262891318,127.1183525391,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",광덕초등학교(병설유치원 포함),충청남도 천안시 동남구 풍세면 용정길 8-7,,36.7452139341,127.1013931615,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",행정초등학교(병설유치원 포함),충청남도 천안시 동남구 풍세면 미죽2길 7,,36.7378268464,127.1504942434,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",보산원초등학교(병설유치원 포함),충청남도 천안시 동남구 광덕면 신흥리3길 36,,36.6984666541,127.1101363755,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",목천초등학교(병설유치원 포함),충청남도 천안시 동남구 광덕면 광덕로 534,,36.6868405026,127.1566113104,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",신계초등학교(병설유치원 포함),충청남도 천안시 동남구 광덕면 보산원2길 33,,36.6857331534,127.0763107451,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",도장초등학교(병설유치원 포함),충청남도 천안시 동남구 목천읍 서리2길 31,,36.7879131681,127.2357247121,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안부영초등학교,충청남도 천안시 동남구 목천읍 천정1길 243-9,,36.7685756896,127.2021412,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",신흥초등학교(병설유치원 포함),충청남도 천안시 동남구 목천읍 도장1길 73,,36.7474165181,127.1803521689,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",위례초등학교(병설유치원 포함),충청남도 천안시 동남구 목천읍 삼성5길 22-14,,36.7595493808,127.1753946422,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",은석초등학교(병설유치원 포함),충청남도 천안시 동남구 목천읍 신계5길 27,,36.7738669078,127.2166080026,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",성남초등학교(병설유치원 포함),충청남도 천안시 동남구 북면 오곡2길 6-13,,36.8247794102,127.2743556048,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",신사초등학교(병설유치원 포함),충청남도 천안시 동남구 북면 용암3길 10,,36.7882047,127.2576352565,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",수신초등학교(병설유치원 포함),충청남도 천안시 동남구 성남면 대흥신덕길 95,,36.7274493810,127.2510197005,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",병천초등학교(병설유치원 포함),충청남도 천안시 동남구 성남면 신사대화로 155,,36.742513,127.2379058810,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천동초등학교(병설유치원 포함),충청남도 천안시 동남구 수신면 수신로 459,,36.7332851396,127.2831738,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",성환초등학교(병설유치원 포함),충청남도 천안시 동남구 병천면 병천2로 35,,36.7662717546,127.3013188457,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",성신초등학교(병설유치원 포함),충청남도 천안시 동남구 동면 동산1길 59,,36.778132,127.3489422796,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",대홍초등학교(병설유치원 포함),충청남도 천안시 서북구 성환읍 성환12길 37,,36.9180446321,127.1324562832,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",신가초등학교(병설유치원 포함),충청남도 천안시 서북구 성환읍 성환12길 7,,36.9190863968,127.1290913070,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",신방초등학교(병설유치원 포함),충청남도 천안시 서북구 성환읍 잠실길 4,,36.9491338071,127.1465168944,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",도하초등학교(병설유치원 포함),충청남도 천안시 서북구 성환읍 성환신흥2길 2,,36.9510108009,127.1145581,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",직산초등학교(병설유치원 포함),충청남도 천안시 서북구 성환읍 신방로 73,,36.9290795299,127.0875881116,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",삼은초등학교(병설유치원 포함),충청남도 천안시 서북구 성환읍 연암로 382,,36.9487861294,127.1668953786,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",양당초등학교(병설유치원 포함),충청남도 천안시 서북구 직산읍 직산안길 79,,36.9036877,127.1620891,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",성거초등학교(병설유치원 포함),충청남도 천안시 서북구 직산읍 삼은2길 11,,36.8780062066,127.1484447611,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",소망초등학교(병설유치원 포함),충청남도 천안시 서북구 직산읍 양당1길 9-12,,36.8784769636,127.1137952026,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",입장초등학교(병설유치원 포함),충청남도 천안시 서북구 성거읍 소댕이3길 606-21,,36.8717712330,127.1996635,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",양대초등학교(병설유치원 포함),충청남도 천안시 서북구 성거읍 역전말3길 102,,36.8759776,127.1623361,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안한들초등학교,충청남도 천안시 서북구 입장면 하장4길 19,,36.9136296118,127.2197586365,천안시,천안경찰서,Y,,,2019-01-01
"초등학교",천안성성초등학교,충청남도 천안시 서북구 입장면 성진로 858,,36.9151909718,127.2270708867,천안시,천안경찰서,Y,,,2019-01-01
"유치원",천안일봉유치원,충청남도 천안시 동남구 다가2길 3,,36.799702,127.1395355787,천안시,천안경찰서,Y,,,2019-01-01
"유치원",천안도솔유치원,충청남도 천안시 서북구 두정역동3길 3,,36.8355898985,127.150924,천안시,천안경찰서,Y,,,2019-01-01
"유치원",천안성정유치원,충청남도 천안시 서북구 성정7길 3,,36.8153101114,127.1402139176,천안시,천안경찰서,Y,,,2019-01-01
"유치원",천안버들유치원,충청남도 천안시 서북구 불당23로 41,,36.81914136,127.1056017,천안시,천안경찰서,Y,,,2019-01-01
"유치원",성성유치원,충청남도 천안시 서북구 성성10길 10-4,,36.84053063,127.1368518,천안시,천안경찰서,Y,,,2019-01-01
"유치원",복자유치원,충청남도 천안시 동남구 옛시청길 32,,36.8059835237,127.1506095854,천안시,천안경찰서,Y,,,2019-01-01
"유치원",한마음유치원,충청남도 천안시 서북구 미라15길 9,,36.8073331,127.1302225,천안시,천안경찰서,Y,,,2019-01-01
"유치원",꿈동산유치원,충청남도 천안시 동남구 새말 2길 24,,36.7947378,127.130756,천안시,천안경찰서,Y,,,2019-01-01
"유치원",색동유치원,충청남도 천안시 서북구 성정6길 8-7,,36.8144230032,127.1405639,천안시,천안경찰서,Y,,,2019-01-01
"유치원",꿈나무유치원,충청남도 천안시 동남구 정골1길 39-8,,36.7922043726,127.1689111,천안시,천안경찰서,Y,,,2019-01-01
"유치원",천사유치원,충청남도 천안시 동남구 천안여상로 25,,36.804481,127.1348691356,천안시,천안경찰서,Y,,,2019-01-01
"유치원",대한유치원,충청남도 천안시 서북구 동서대로110-24,,36.8243059669,127.1346769,천안시,천안경찰서,Y,,,2019-01-01
"유치원",중앙유치원,충청남도 천안시 서북구 서부14길 55,,36.8212464,127.1424319,천안시,천안경찰서,Y,,,2019-01-01
"유치원",미래클유치원,충청남도 천안시 서북구 쌍용대로 301,,36.8240839903,127.1365310515,천안시,천안경찰서,Y,,,2019-01-01
"유치원",자연유치원,충청남도 천안시 동남구 양지4길 6-7,,36.8075341985,127.1381019204,천안시,천안경찰서,Y,,,2019-01-01
"유치원",젤라유치원,충청남도 천안시 서북구 미라3길 5,,36.8001066,127.1304634,천안시,천안경찰서,Y,,,2019-01-01
"유치원",호서대학교부속유치원,충청남도 천안시 동남구 각원사길 69,,36.8305779458,127.1806861830,천안시,천안경찰서,Y,,,2019-01-01
