"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",고덕초등학교,충청남도 예산군 고덕면 황금뜰로 203,충청남도 예산군 고덕면 대천리 722-5,36.7481732152,126.7027696390,충청남도종합건설사업소(지방도 구간),예산경찰서,Y,3,8,2020-01-09
"초등학교",구만초등학교,충청남도 예산군 고덕면 구만윗뜸길 27,충청남도 예산군 고덕면 구만리 820-2,36.7331017192,126.7326613389,충청남도종합건설사업소(지방도 구간),예산경찰서,Y,2,8,2020-01-09
"어린이집",창조국악어린이집,충청남도 예산군 예산읍 벚꽃로 270-8,충청남도 예산군 예산읍 석양리 6-4,36.7042094382,126.8397767269,충청남도 예산군청,예산경찰서,N,,20,2020-01-09
"초등학교",금오초등학교,충청남도 예산군 예산읍 역전로134번길 28,충청남도 예산군 예산읍 산성리 883,36.6905935450,126.8333151894,충청남도 예산군청,예산경찰서,Y,10,8,2020-01-09
"초등학교",대술초등학교,충청남도 예산군 대술면 원농리길 12,충청남도 예산군 대술면 화천리 966-14,36.6566813962,126.8960835345,충청남도종합건설사업소(지방도 구간),예산경찰서,Y,3,8,2020-01-09
"초등학교",대흥초등학교,충청남도 예산군 대흥면 의좋은형제길 16,충청남도 예산군 대흥면 동서리 384,36.6075484127,126.7898847774,충청남도종합건설사업소(지방도 구간),예산경찰서,Y,3,8,2020-01-09
"어린이집",덕산어린이집,충청남도 예산군 덕산면 가야산로 30-4,충청남도 예산군 덕산면 읍내리 401-5,36.7061289127,126.6641046,충청남도 예산군청,예산경찰서,Y,3,8,2020-01-09
"초등학교",덕산초등학교,충청남도 예산군 덕산면 봉운로 38,충청남도 예산군 덕산면 읍내리 418,36.7061119219,126.6684215609,충청남도종합건설사업소(지방도 구간),예산경찰서,Y,6,8,2020-01-09
"어린이집",무한어린이집,충청남도 예산군 예산읍 예산산업단지로 21,충청남도 예산군 예산읍 주교리 511-21,36.6837178521,126.8172879,충청남도 예산군청,예산경찰서,N,,20,2020-01-09
"초등학교",보성초등학교,충청남도 예산군 삽교읍 예학로 127,충청남도 예산군 삽교읍 목리 1963,36.6671780606,126.6810004,충청남도 예산군청,예산경찰서,Y,3,8,2020-01-09
