"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",구성초등학교(병설포함),충청남도 천안시 동남구 청수로 126,충청남도 천안시 동남구 구성동 388-71,36.79296109,127.1585001,충청남도 천안시청,천안동남경찰서,Y,2,20,2020-01-10
"초등학교",성환초등학교(병설포함),충청남도 천안시 서북구 성환읍 성환12길 37,충청남도 천안시 서북구 성환읍 성환리 274-2,36.91804463,127.1324563,충청남도 천안시청,천안서북경찰서,Y,1,14,2020-01-10
"초등학교",환서초등학교(병설포함),충청남도 천안시 서북구 백석3로 98,충청남도 천안시 서북구 백석동 105,36.8203218,127.1225231,충청남도 천안시청,천안서북경찰서,Y,4,8,2020-01-10
"초등학교",신안초등학교(병설포함),충청남도 천안시 동남구 원성25길 21,충청남도 천안시 동남구 신부동 58-11,36.81418936,127.1626757,충청남도 천안시청,천안동남경찰서,Y,5,6,2020-01-10
"초등학교",한들초등학교,충청남도 천안시 서북구 한들2로 33,충청남도 천안시 서북구 백석동 345-1,36.82532954,127.117792,충청남도 천안시청,천안서북경찰서,N,,,2020-01-10
"유치원",이튼유치원,충청남도 천안시 서북구 불당18로 33,충청남도 천안시 서북구 불당동 1831,36.80531505,127.1052286,충청남도 천안시청,천안서북경찰서,N,,,2020-01-10
"초등학교",신촌초등학교(병설포함),충청남도 천안시 동남구 신촌4로 9,충청남도 천안시 동남구 신방동 768-1,36.78745173,127.1236001,충청남도 천안시청,천안동남경찰서,Y,3,18,2020-01-10
"초등학교",부영초등학교,충청남도 천안시 동남구 목천읍 삼성5길22-14,충청남도 천안시 동남구 목천읍 삼성리 10-1,36.75954938,127.1753946,충청남도 천안시청,천안동남경찰서,Y,4,16,2020-01-10
"초등학교",용정초등학교(병설포함),충청남도 천안시 동남구 풍세면 용정길 8-7,충청남도 천안시 동남구 풍세면 용정리 651,36.74521393,127.1013932,충청남도 천안시청,천안동남경찰서,Y,4,6,2020-01-10
"초등학교",백석초등학교,충청남도 천안시 서북구 백석3로 98,충청남도 천안시 서북구 백석동 720,36.8203218,127.1225231,충청남도 천안시청,천안서북경찰서,Y,9,16,2020-01-10
"초등학교",부성초등학교,충청남도 천안시 서북구 부성1길 16,충청남도 천안시 서북구 두정동 161-4,36.83524315,127.136663,충청남도 천안시청,천안서북경찰서,Y,3,10,2020-01-10
"초등학교",성신초등학교(병설포함),충청남도 천안시 서북구 성환읍 성환12길7,충청남도 천안시 서북구 성환읍 성환리 449-5,36.9190864,127.1290913,충청남도 천안시청,천안서북경찰서,Y,5,6,2020-01-10
