"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",청양초등학교,충청남도 청양군 청양읍 칠갑산로9길 29,충청남도 청양군 청양읍 읍내리 5-2,36.4540186,126.8056733,충청남도 청양군,청양경찰서,Y,10,6,2019-09-06
"초등학교",청송초등학교,충청남도 청양군 청양읍 칠갑산로97,충청남도 청양군 청양읍 송방리 292-1,36.4496958829,126.7881249831,충청남도 청양군,청양경찰서,Y,8,6,2019-09-06
"초등학교",운곡초등학교(병설유치원),충청남도 청양군 운곡면 갈산길53,충청남도 청양군 운곡면 신대리 598,36.5239506621,126.8465223552,충청남도 청양군,청양경찰서,Y,8,6,2019-09-06
"초등학교",수정초등학교(병설유치원),충청남도 청양군 대치면 칠갑산로 514,충청남도 청양군 대치면 주정리 258-5,36.4455217,126.8281657,충청남도 청양군,청양경찰서,Y,8,7,2019-09-06
"초등학교",정산초등학교(병설유치원),충청남도 청양군 정산면 칠갑산로 1863,충청남도 청양군 정산면 서정리 34,36.4164598,126.9455970,충청남도 청양군,청양경찰서,Y,9,6,2019-09-06
"초등학교",목면초등학교(병설유치원),충청남도 청양군 목면 철마장길 15,충청남도 청양군 목면 안심리 355,36.4204697126,127.0042282432,충청남도 청양군,청양경찰서,Y,10,6,2019-09-06
"초등학교",청남초등학교(병설유치원),충청남도 청양군 청남면 명덕로 207-4,충청남도 청양군 청남면 청소리 216-1,36.3552192,126.9516512,충청남도 청양군,청양경찰서,Y,8,6,2019-09-06
"초등학교",미당초등학교(병설유치원),충청남도 청양군 장평면 낙지미당로 543-53,충청남도 청양군 장평면 미당리 38,36.3751036,126.9333261,충청남도 청양군,청양경찰서,Y,5,6,2019-09-06
"초등학교",장평초등학교(병설유치원),충청남도 청양군 장평면 충의로 453,충청남도 청양군 장평면 중추리 26-2,36.3463748,126.8992402,충청남도 청양군,청양경찰서,Y,5,6,2019-09-06
"초등학교",남양초등학교(병설유치원),충청남도 청양군 남양면 구용길 324,충청남도 청양군 남양면 구룡리 22,36.4010738,126.7771796,충청남도 청양군,청양경찰서,Y,4,6,2019-09-06
"초등학교",합천초등학교(병설유치원),충청남도 청양군 화성면 무한로 88,충청남도 청양군 화성면 산정리 243,36.4256199,126.7141711,충청남도 청양군,청양경찰서,Y,4,6,2019-09-06
"초등학교",가남초등학교(병설유치원),충청남도 청양군 비봉면 충절로 1962-7,충청남도 청양군 비봉면 록평리 29,36.5168734,126.7884425,충청남도 청양군,청양경찰서,Y,4,7,2019-09-06
"유치원",청양유치원,충청남도 청양군 청양읍 칠갑산로1길 11-10,충청남도 청양군 청양읍 송방리 168-1,36.4529548,126.8000618,충청남도 청양군,청양경찰서,Y,9,15,2019-09-06
"유치원",예일유치원(어린이집),충청남도 청양군 청양읍 청신로 19-8,충청남도 청양군 청양읍 교월리 52,36.454310227,126.812029294,충청남도 청양군,청양경찰서,Y,3,6,2019-09-06
"어린이집",제일어린이집,충청남도 청양군 청양읍 고리섬들길 96,충청남도 청양군 청양읍 읍내리 371-8,36.4469166,126.8035368,충청남도 청양군,청양경찰서,Y,3,16,2019-09-06
"어린이집",피터팬어린이집,충청남도 청양군 정산면 서정4길 29-9,충청남도 청양군 정산면 서정리 65,36.4151341,126.9465058,충청남도 청양군,청양경찰서,Y,4,14,2019-09-06
"어린이집",청남어린이집,충청남도 청양군 청남면 명덕로 221,충청남도 청양군 청남면 청소리 299-1,36.3557292,126.9517346,충청남도 청양군,청양경찰서,Y,3,6,2019-09-06
"어린이집",화성어린이집,충청남도 청양군 화성면 무한로 149,충청남도 청양군 화성면 구재리 248-1,36.4302692,126.7166159,충청남도 청양군,청양경찰서,Y,4,6,2019-09-06
"어린이집",넓은마당어린이집,충청남도 청양군 비봉면 충절로 1630-6,충청남도 청양군 비봉면 중묵리 517-2,36.4892710,126.7911672,충청남도 청양군,청양경찰서,Y,4,7,2019-09-06
