"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",태안초등학교,충청남도 태안군 태안읍 백화로 49,충청남도 태안군 태안읍 남문리 315,36.7591401,126.2954146426,태안군,태안경찰서,Y,19,3.5,2019-05-31
"초등학교",백화초등학교,충청남도 태안군 태안읍 다락미1길85,충청남도 태안군 태안읍 동문리 45,36.7528710685,126.3083726436,태안군,태안경찰서,Y,13,3.5,2019-05-31
"초등학교",화동초등학교,충청남도 태안군 태안읍 중앙로 321,충청남도 태안군 태안읍 평천리 679-8,36.7537802245,126.3204048376,태안군,태안경찰서,Y,8,3.5,2019-05-31
"초등학교",근흥초등학교,충청남도 태안군 태안읍 근흥로 716-8,충청남도 태안군 태안읍 용신리 447,36.720046,126.236692,태안군,태안경찰서,Y,7,3.5,2019-05-31
"초등학교",안흥초등학교,충청남도 태안군 태안읍 죽림길 45,충청남도 태안군 태안읍 정죽리 229,36.706935,126.172205,태안군,태안경찰서,Y,6,3.5,2019-05-31
"초등학교",남면초등학교,충청남도 태안군 태안읍 남면로 125,충청남도 태안군 태안읍 달산리 1174,36.673221,126.299696,태안군,태안경찰서,Y,8,3.5,2019-05-31
"초등학교",삼성초등학교,충청남도 태안군 태안읍 마검포길 93-1,충청남도 태안군 태안읍 신온리 225,36.622200,126.311581,태안군,태안경찰서,Y,6,3.5,2019-05-31
"초등학교",안면초등학교,충청남도 태안군 태안읍 장터로 230,충청남도 태안군 태안읍 승언리 846-4,36.527857,126.347070,태안군,태안경찰서,Y,15,3.5,2019-05-31
"초등학교",방포초등학교,충청남도 태안군 태안읍 꽃지해안로 519,충청남도 태안군 태안읍 승언리 1312,36.507104,126.347530,태안군,태안경찰서,Y,7,3.5,2019-05-31
"초등학교",창기초등학교,충청남도 태안군 태안읍 황도로 72,충청남도 태안군 태안읍 창기리 341-5,36.579784,126.338445,태안군,태안경찰서,Y,3,3.5,2019-05-31
"초등학교",고남초등학교,충청남도 태안군 태안읍 안면대로 4189,충청남도 태안군 태안읍 고남리 1609,36.426474,126.404234,태안군,태안경찰서,Y,8,3.5,2019-05-31
"초등학교",소원초등학교,충청남도 태안군 태안읍 은골길 42,충청남도 태안군 태안읍 신덕리 223,36.764003,126.193546,태안군,태안경찰서,Y,6,3.5,2019-05-31
"초등학교",시목초등학교,충청남도 태안군 태안읍 서해로 1147-26,충청남도 태안군 태안읍 시목리 288,36.769014,126.245146,태안군,태안경찰서,Y,5,3.5,2019-05-31
"초등학교",모항초등학교,충청남도 태안군 태안읍 모항파도로 116,충청남도 태안군 태안읍 모항리 344,36.773032,126.139872,태안군,태안경찰서,Y,13,3.5,2019-05-31
"초등학교",원북초등학교,충청남도 태안군 태안읍 원이로 849-3,충청남도 태안군 태안읍 반계리 222,36.825988,126.258631,태안군,태안경찰서,Y,5,3.5,2019-05-31
"초등학교",원북방갈분교,충청남도 태안군 태안읍 옥파로 815-2,충청남도 태안군 태안읍 방갈리 202,36.825988,126.258631,태안군,태안경찰서,Y,4,3.5,2019-05-31
"초등학교",이원초등학교,충청남도 태안군 태안읍 원이로 1536-31,충청남도 태안군 태안읍 포지리 44,36.869114,126.280659,태안군,태안경찰서,Y,5,3.5,2019-05-31
"초등학교",이원초관동분교,충청남도 태안군 태안읍 원이로 1956,충청남도 태안군 태안읍 관리 527-3,36.869114,126.280659,태안군,태안경찰서,Y,2,3.5,2019-05-31
"초등학교",송암초등학교,충청남도 태안군 태안읍 순환길 130,충청남도 태안군 태안읍 순환길 130,36.7356128825,126.3003099250,태안군,태안경찰서,Y,2,3.5,2019-05-31
"초등학교",코알라어린이집,충청남도 태안군 태안읍 후곡로 38-76,충청남도 태안군 태안읍 후곡로 38-76,36.7495349056,126.295170,태안군,태안경찰서,Y,2,3.5,2019-05-31
"초등학교",안중초등학교,충청남도 태안군 안면읍 율포길 31,충청남도 태안군 안면읍 율포길 31,36.4740099840,126.3722983852,태안군,태안경찰서,Y,2,3.5,2019-05-31
