"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",홍주초교,충청남도 홍성군 홍성읍 조양로 100-10,,36.6022708258,126.6600357,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",홍남초교,충청남도 홍성군 홍성읍 홍장북로 434,,36.5938145262,126.6689875842,충청남도 홍성군,홍성경찰서,Y,1,16,2019-09-25
"초등학교",덕명초교,충청남도 홍성군 광천읍 광천로 348,,36.5055520137,126.6249503,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",대평초교,충청남도 홍성군 광천읍 홍남동로 161,,36.5168968788,126.6614692876,충청남도 홍성군,홍성경찰서,N,0,8,2019-09-25
"초등학교",광동초교,충청남도 홍성군 광천읍 홍남로 705번길 12-13,,36.50553343,126.6293572,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",서해삼육초교,충청남도 홍성군 광천읍 홍남로 687번길 49,,36.5052987581,126.6269249105,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",홍북초교,충청남도 홍성군 홍북면 매죽헌길 5,,36.65091685,126.6943044,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",용봉초교,충청남도 홍성군 홍북면 이응노로 277,,36.63174531,126.6501133,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",금마초교,충청남도 홍성군 금마면 광금북로 484,,36.6140612736,126.7320891683,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",배양초교,충청남도 홍성군 금마면 금마로 23-24,,36.6144248894,126.7088505564,충청남도 홍성군,홍성경찰서,N,0,8,2019-09-25
"초등학교",금당초교,충청남도 홍성군 홍동면 초롱산길 9,,36.5685577952,126.7244307262,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",홍동초교,충청남도 홍성군 홍동면 홍장남로 672번길 28-6,,36.5545777,126.6899795659,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",장곡초교,충청남도 홍성군 장곡면 도산1길2,,36.5049591017,126.6923341875,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",반계분장,충청남도 홍성군 장곡면 무한로 1115,,36.5062126525,126.7523710284,충청남도 홍성군,홍성경찰서,N,0,8,2019-09-25
"초등학교",은하초교,충청남도 홍성군 은하면 은하로 220,,36.5294863282,126.5887685179,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",결성초교,충청남도 홍성군 결성면 홍남서로 738번길 30,,36.5246558668,126.5440615495,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",서부초교,충청남도 홍성군 서부면 서부로 505,,36.5792683,126.5107488244,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",신당초교,충청남도 홍성군 서부면 남당항로 270번길 43,,36.5477191,126.4730635030,충청남도 홍성군,홍성경찰서,Y,1,5,2019-09-25
"초등학교",갈산초교,충청남도 홍성군 갈산면 갈산로 135,,36.6025219132,126.5536670300,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",대정초교,충청남도 홍성군 구항면 거북로 20,,36.5476029499,126.6376624669,충청남도 홍성군,홍성경찰서,Y,1,8,2019-09-25
"초등학교",구항초교,충청남도 홍성군 구항면 구성남로 928,,36.5836887,126.6074453497,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",내포초교,충청남도 홍성군 홍북면 홍학로 38,,36.64904817,126.6707375,충청남도 홍성군,홍성경찰서,N,0,6,2019-09-25
"유치원",혜전대유치원,충청남도 홍성군 홍성읍 대학길 18-23,,36.5775148,126.6563423,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"유치원",프라임유치원,충청남도 홍성군 홍성읍 충서로 1216번길 23,,36.5856385203,126.6584672,충청남도 홍성군,홍성경찰서,N,0,3,2019-09-25
"유치원",홍주유치원,충청남도 홍성군 홍성읍 문화로 57번길 18,,36.5943952428,126.6588960008,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"유치원",목화유치원,충청남도 홍성군 홍성읍 대교길 33,,36.60550228,126.6748748,충청남도 홍성군,홍성경찰서,N,0,3,2019-09-25
"유치원",조양유치원,충청남도 홍성군 홍성읍 도청대로 29-19,,36.6069862677,126.6615364968,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"유치원",소망어린이집,충청남도 홍성군 홍성읍 간동1길 58,,36.6086435,126.6699431,충청남도 홍성군,홍성경찰서,N,0,3,2019-09-25
"유치원",갓골어린이집,충청남도 홍성군 홍동면 광금남로 664,,36.55829769,126.685949,충청남도 홍성군,홍성경찰서,Y,1,6,2019-09-25
"초등학교",홍성초교,충청남도 홍성군 홍성읍 조양로 43,,36.59955999,126.6561865,충청남도 홍성군,홍성경찰서,Y,2,6,2019-09-25
