"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",동인초등학교,충청북도 괴산군 괴산읍 읍내로2길 15-8,충청북도 괴산군 괴산읍 서부리 485,36.8065951039,127.7904397457,충청북도 괴산군,괴산경찰서,Y,2,,2019-06-21
"초등학교",소수초등학교,충청북도 괴산군 소수면 소수로 131,충청북도 괴산군 소수면 수리 554,36.8545707548,127.7449337799,충청북도 괴산군,괴산경찰서,Y,1,,2019-06-21
"초등학교",칠성초등학교,충청북도 괴산군 칠성면 칠성로 26,충청북도 괴산군 칠성면 도정리 311,36.7858225,127.8624450,충청북도 괴산군,괴산경찰서,Y,1,,2019-06-21
"초등학교",연풍초등학교,충청북도 괴산군 연풍면 중앙로 53,충청북도 괴산군 연풍면 삼풍리 162,36.7630756,127.9969613,충청북도 괴산군,괴산경찰서,Y,2,,2019-06-21
"초등학교",감물초등학교,충청북도 괴산군 감물면 남양동길 38,충청북도 괴산군 감물면 오성리 81-1,36.8392271,127.8715073,충청북도 괴산군,괴산경찰서,Y,2,,2019-06-21
"초등학교",문광초등학교,충청북도 괴산군 문광면 괴산로 3446,충청북도 괴산군 문광면 광덕리 294,36.7900666,127.7834174,충청북도 괴산군,괴산경찰서,Y,1,,2019-06-21
"초등학교",백봉초등학교,충청북도 괴산군 청안면 질마로 1456,충청북도 괴산군 청안면 부흥리 428,36.7071509,127.7271666,충청북도 괴산군,괴산경찰서,Y,2,,2019-06-21
"초등학교",청안초등학교,충청북도 괴산군 청안면 청안읍내로3길 8,,36.77254628,127.639817899,충청북도 괴산군,괴산경찰서,Y,1,,2019-06-21
"초등학교",장연초등학교,충청북도 괴산군 장연면 미선로오가5길 1,충청북도 괴산군 장연면 오가리 349,36.8249891,127.9553760,충청북도 괴산군,괴산경찰서,Y,2,,2019-06-21
"초등학교",목도초등학교,충청북도 괴산군 불정면 목도로 42-1,충청북도 괴산군 불정면 목도리 290,36.8744730473,127.854328159,충청북도 괴산군,괴산경찰서,Y,2,,2019-06-21
"초등학교",보광초등학교,충청북도 괴산군 사리면 사리로 246,충청북도 괴산군 사리면 사담리 516-1,36.8178852,127.6501176,충청북도 괴산군,괴산경찰서,Y,1,,2019-06-21
"초등학교",송면초등학교,충청북도 괴산군 청천면 송면2길 13,,36.6743793,127.8625430,충청북도 괴산군,괴산경찰서,Y,1,,2019-06-21
"초등학교",추산초등학교,충청북도 괴산군 불정면 동추산길 1,,36.9026214,127.8171020,충청북도 괴산군,괴산경찰서,Y,1,,2019-06-21
"초등학교",명덕초등학교,충청북도 괴산군 괴산읍 읍내로4길 53,충청북도 괴산군 괴산읍 서부리 335,36.8093968,127.7867252,충청북도 괴산군,괴산경찰서,Y,2,,2019-06-21
