"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가곡초등학교(대곡분교),충청북도 단양군 가곡면 대대길 51,,36.99798763,128.4263411,충청북도 단양군청,충청북도 단양경찰서,Y,2,5,2020-01-02
"초등학교","단양초등학교, 단양초교(병설유치원)",충청북도 단양군 단양읍 도전2길 15,,36.97851224,128.3690393,충청북도 단양군청,충청북도 단양경찰서,Y,8,16,2020-01-02
"초등학교","대강초등학교, 대강초교(병설유치원)",충청북도 단양군 대강면 대강로 6,,36.92171175,128.3583945,충청북도 단양군청,충청북도 단양경찰서,Y,3,16,2020-01-02
"초등학교","매포초등학교, 매포초교(병설유치원)",충청북도 단양군 매포읍 단양로 1929,,37.03444106,128.3016801,충청북도 단양군청,충청북도 단양경찰서,Y,7,34,2020-01-02
"초등학교",상진초등학교,충청북도 단양군 단양읍 상진12길 17,,36.97923763,128.3567122,충청북도 단양군청,충청북도 단양경찰서,Y,7,16,2020-01-02
"초등학교","가곡초등학교, 가곡초교(병설유치원)",충청북도 단양군 가곡면 남한강로 548,,37.02689574,128.385559,충청북도 단양군청,충청북도 단양경찰서,Y,2,12,2020-01-02
"초등학교","영춘초등학교, 영춘초교(병설유치원)",충청북도 단양군 영춘면 온달평강로 63-6,,37.08079475,128.4826158,충청북도 단양군청,충청북도 단양경찰서,Y,2,12,2020-01-02
"초등학교","어상천초등학교, 어상천초교(병설유치원)",충청북도 단양군 어상천면 어상천로 930,,37.10292721,128.358035,충청북도 단양군청,충청북도 단양경찰서,Y,2,12,2020-01-02
"초등학교","별방초등학교, 별방초교(병설유치원)",충청북도 단양군 영춘면 별방창원로 449,,37.09638512,128.4154063,충청북도 단양군청,충청북도 단양경찰서,Y,2,12,2020-01-02
"초등학교",가곡초등학교(보발분교),충청북도 단양군 가곡면 보발본동1길 17,,37.029533,128.4487684,충청북도 단양군청,충청북도 단양경찰서,Y,2,12,2020-01-02
"초등학교","장정분교, 장정분교(병설유치원)",충청북도 단양군 대강면 온천로 719-7,,36.84692239,128.3957574,충청북도 단양군청,충청북도 단양경찰서,Y,2,12,2020-01-02
"초등학교","대가초등학교, 대가초교(병설유치원)",충청북도 단양군 적성면 적성로 453,,37.033529,128.2625315,충청북도 단양군청,충청북도 단양경찰서,Y,2,12,2020-01-02
"초등학교","가산분교, 가산분교(병설유치원)",충청북도 단양군 단성면 선암계곡로 1092,,36.89330959,128.305571,충청북도 단양군청,충청북도 단양경찰서,Y,1,12,2020-01-02
"초등학교","가평초등학교, 가평초교(병설유치원)",충청북도 단양군 매포읍 가평길 58,,37.07317505,128.2827001,충청북도 단양군청,충청북도 단양경찰서,Y,2,8,2020-01-02
"초등학교","단천초등학교, 단천초교(병설유치원)",충청북도 단양군 단성면 북상하리길 53,,36.92657241,128.3388273,충청북도 단양군청,충청북도 단양경찰서,Y,2,8,2020-01-02
"어린이집",우리 어린이집,충청북도 단양군 단양읍 별곡12길 5,,36.9876499,128.370169,충청북도 단양군청,충청북도 단양경찰서,N,0,5,2020-01-02
"어린이집",매화 어린이집,충청북도 단양군 매포읍 평동11길 8,,37.03311443,128.3043367,충청북도 단양군청,충청북도 단양경찰서,Y,3,5,2020-01-02
"어린이집",천사 어린이집,충청북도 단양군 단양읍 도전1로 8,,36.98270412,128.3668188,충청북도 단양군청,충청북도 단양경찰서,Y,3,16,2020-01-02
"어린이집",단양 어린이집,충청북도 단양군 단양읍 상진7길 8,,36.97981995,128.3536903,충청북도 단양군청,충청북도 단양경찰서,Y,3,8,2020-01-02
"어린이집",어상천 어린이집,충청북도 단양군 어상천면 매포어상천로 1299,,37.10222898,128.3538409,충청북도 단양군청,충청북도 단양경찰서,Y,1,12,2020-01-02
"어린이집",호산나 어린이집,충청북도 단양군 단양읍 도전9가길 2,,36.97745162,128.365653,충청북도 단양군청,충청북도 단양경찰서,Y,1,5,2020-01-02
"어린이집",꿈나무 어린이집,충청북도 단양군 매포읍 평동38길 8-6,,37.03132527,128.295937,충청북도 단양군청,충청북도 단양경찰서,Y,3,16,2020-01-02
"어린이집",단양 새싹 어린이집,충청북도 단양군 단양읍 삼봉로 340,,36.98714802,128.369987,충청북도 단양군청,충청북도 단양경찰서,Y,3,24,2020-01-02
