"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",관기초등학교,충청북도 보은군 마로면 관기송현로 109,충청북도 보은군 마로면 관기리 297,36.43617651,127.821257,충청북도 보은군청,보은경찰서,Y,3,3~10,2019-05-30
"초등학교",내북초등학교,충청북도 보은군 내북면 화전길 20,충청북도 보은군 내북면 동산리 119,36.57582018,127.6519602,충청북도 보은군청,보은경찰서,N,0,2~5,2019-05-30
"초등학교",동광초등학교,충청북도 보은군 보은읍 동광길 26,충청북도 보은군 보은읍 교사리 54-1,36.4878335,127.718821,충청북도 보은군청,보은경찰서,Y,1,6~8,2019-05-30
"초등학교",산외초등학교,충청북도 보은군 산외면 구티1길 27,충청북도 보은군 산외면 구티리 52-2,36.55288344,127.7316763,충청북도 보은군청,보은경찰서,Y,1,3~8,2019-05-30
"초등학교",삼산초등학교,충청북도 보은군 보은읍 보은로 109-6,충청북도 보은군 보은읍 삼산리 120-2,36.48473557,127.7163179,충청북도 보은군청,보은경찰서,Y,2,8,2019-05-30
"초등학교",세중초등학교,충청북도 보은군 마로면 세중1길 2,충청북도 보은군 마로면 세중리 575-2,36.38820375,127.8300608,충청북도 보은군청,보은경찰서,Y,2,3~6,2019-05-30
"초등학교",속리초등학교,충청북도 보은군 장안면 장안2길 2,충청북도 보은군 장안면 장안리 243-2,36.47120736,127.7894931,충청북도 보은군청,보은경찰서,Y,1,8,2019-05-30
"초등학교",송죽초등학교,충청북도 보은군 삼승면 남부로 3927,충청북도 보은군 삼승면 송죽리 192-4,36.437909,127.734388,충청북도 보은군청,보은경찰서,Y,1,9~18,2019-05-30
"초등학교",수정초등학교,충청북도 보은군 속리산면 사내1길 125,충청북도 보은군 속리산면 사내리 181-1,36.53624089,127.821425,충청북도 보은군청,보은경찰서,Y,2,5.5,2019-05-30
"초등학교",수한초등학교,충청북도 보은군 수한면 안내보은로 1022,충청북도 보은군 수한면 소계리 17-2,36.45881157,127.7011353,충청북도 보은군청,보은경찰서,Y,2,10,2019-05-30
"초등학교",종곡초등학교,충청북도 보은군 보은읍 강신1길 12-7,충청북도 보은군 보은읍 강신리 54,36.50201151,127.7498643,충청북도 보은군청,보은경찰서,N,0,6,2019-05-30
