"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",양산초등학교(병설포함),충청북도 영동군 양산면 금강로 1500,충청북도 영동군 양산면 가곡리 293-2,36.1245798,127.6661942,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",학산초등학교(병설포함),충청북도 영동군 학산면 서산동길 12-9,충청북도 영동군 학산면 서산리 738-1,36.0920088,127.6861684,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",미봉초등학교(병설포함),충청북도 영동군 양강면 학산영동로 495,충청북도 영동군 양강면 유점리 697-3,36.1275695,127.7275019,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",초강초등학교(병설포함),충청북도 영동군 심천면 초강로 97,충청북도 영동군 심천면 초강리 451-1,36.2169497,127.714356,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",심천초등학교(병설포함),충청북도 영동군 심천면 심천로 52,충청북도 영동군 심천면 심천리 524-1,36.2346082,127.7250328,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",추풍초등학교(병설포함),충청북도 영동군 추풍령면 추풍령로2길 7,충청북도 영동군 추풍령면 추풍령리 375-1,36.2148742,127.9964777,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",상촌초등학교(병설포함),충청북도 영동군 상촌면 임산2길 20,충청북도 영동군 상촌면 임산리 357-1,36.1488053,127.9142032,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",용화초등학교(병설포함),충청북도 영동군 용화면 용화양강로 32,충청북도 영동군 용화면 용화리 760,36.0232309,127.7659789,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"유치원",대건유치원,충청북도 영동군 영동읍 계산로2길 40-1,충청북도 영동군 영동읍 계산리 741-2,36.1721086,127.7758806,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"유치원",루시유치원,충청북도 영동군 황간면 남성2길 29,충청북도 영동군 황간면 남성리 544,36.2291174,127.9121859,충청북도 영동군청,영동경찰서,Y,1,6.5,2018-05-04
"유치원",한빛유치원,충청북도 영동군 영동읍 눈어치2로31-13,충청북도 영동군 영동읍 설계리 744,36.1873812,127.7780063,충청북도 영동군청,영동경찰서,Y,1,6.5,2018-05-04
"유치원",영동유치원,충청북도 영동군 영동읍 부용동1로 16,충청북도 영동군 영동읍 부용리 20-7,36.1716558,127.7730473,충청북도 영동군청,영동경찰서,N,0,6.5,2018-05-04
"어린이집",금성어린이집,충청북도 영동군 영동읍 난계로  1120-24,충청북도 영동군 영동읍 부용리 433-2,36.1771212,127.7681113,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"어린이집",으뜸어린이집,충청북도 영동군 양강면 양정축촌로 27-8,충청북도 영동군 양강면 양정리 429-1,36.1524256,127.750978,충청북도 영동군청,영동경찰서,Y,1,6.5,2018-05-04
"어린이집",용산어린이집,충청북도 영동군 용산면 용심로 1261,충청북도 영동군 용산면 한곡리 218-2,36.2761631,127.8099032,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",영동초등학교,충청북도 영동군 영동읍 영동천2길 47,충청북도 영동군 영동읍 계산리 674-4,36.1726593,127.779275,충청북도 영동군청,영동경찰서,Y,3,6.5,2018-05-04
"초등학교",황간초등학교(병설포함),충청북도 영동군 황간면 남성1길 25,충청북도 영동군 황간면 남성리 167-1,36.2273568,127.912912,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",부용초등학교,충청북도 영동군 영동읍 부용1길 5-6,충청북도 영동군 영동읍 부용리 225,36.1686612,127.7682907,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",이수초등학교,충청북도 영동군 영동읍 영산로4길 9,충청북도 영동군 영동읍 계산리 485-1,36.1782018,127.7766203,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",구룡초등학교(병설포함),충청북도 영동군 용산면 용산로 366,충청북도 영동군 용산면 구촌리 141-1,36.2640088,127.8279295,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",매곡초등학교(병설포함),충청북도 영동군 매곡면 민주지산로 3609,충청북도 영동군 매곡면 노천리 53-1,36.1922671,127.9321044,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"초등학교",양강초등학교(병설포함),충청북도 영동군 양강면 학산영동로 817,충청북도 영동군 양강면 묘동리 331-2,36.1458913,127.7469941,충청북도 영동군청,영동경찰서,Y,2,6.5,2018-05-04
"어린이집",별하늘어린이집,충청북도 영동군 영동읍 매천6길 41,충청북도 영동군 영동읍 매천리 308,36.164917,127.781649267,충청북도 영동군청,영동경찰서,N,0,12,2018-05-04
"어린이집",감고을행복어린이집,충청북도 영동군 영동읍 산익길 73,충청북도 영동군 영동읍 매천리 36-13,36.161626,127.793358872,충청북도 영동군청,영동경찰서,N,0,6.5,2018-05-04
