"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",죽향초등학교,충청북도 옥천군 옥천읍 향수1길 26,충청북도 옥천군 옥천읍 문정리 83,36.313650957,127.576849401,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"유치원",죽향초교 병설유치원,충청북도 옥천군 옥천읍 향수1길 26,충청북도 옥천군 옥천읍 문정리 83,36.313650957,127.576849401,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"초등학교",삼양초등학교,충청북도 옥천군 옥천읍 성암1길 9,충청북도 옥천군 옥천읍 마암리 5-1,36.2979732684,127.568753949,충청북도 옥천군,옥천경찰서,Y,1,4,2019-09-01
"유치원",삼양초교 병설유치원,충청북도 옥천군 옥천읍 성암1길 9,충청북도 옥천군 옥천읍 마암리 5-1,36.2979732684,127.568753949,충청북도 옥천군,옥천경찰서,Y,1,4,2019-09-01
"초등학교",군남초등학교,충청북도 옥천군 옥천읍 서대구일로 10,충청북도 옥천군 옥천읍 서대리 279,36.2781891033,127.581810561,충청북도 옥천군,옥천경찰서,Y,1,16,2019-09-01
"유치원",군남초교 병설유치원,충청북도 옥천군 옥천읍 서대구일로 10,충청북도 옥천군 옥천읍 서대리 279,36.2781891033,127.581841,충청북도 옥천군,옥천경찰서,Y,1,16,2019-09-01
"초등학교",동이초등학교,충청북도 옥천군 동이면 평산길 6,충청북도 옥천군 동이면 평산리 72-1,36.2864437181,127.619170083,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"유치원",동이초교 병설유치원,충청북도 옥천군 동이면 평산길 6,충청북도 옥천군 동이면 평산리 72-1,36.2864437181,127.619170083,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"초등학교",안남초등학교,충청북도 옥천군 안남면 연주길 60,충청북도 옥천군 안남면 연주리 416,36.3555371,127.6718281,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"유치원",안남초교 병설유치원,충청북도 옥천군 안남면 연주길 60,충청북도 옥천군 안남면 연주리 416,36.3555371,127.6718281,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"초등학교",안내초등학교,충청북도 옥천군 안내면 현리길 74,충청북도 옥천군 안내면 현리 115-2,36.39421591,127.6608104,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"유치원",안내초교 병설유치원,충청북도 옥천군 안내면 현리길 74,충청북도 옥천군 안내면 현리 115-2,36.39421591,127.6608104,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"유치원",청성초교 병설유치원,충청북도 옥천군 청성면 산계길 63,충청북도 옥천군 청성면 산계리 234,36.3289292111,127.759094402,충청북도 옥천군,옥천경찰서,Y,1,4,2019-09-01
"초등학교",청산초등학교,충청북도 옥천군 청산면 지전길 36-19,충청북도 옥천군 청산면 지전리 34,36.3459357864,127.793511141,충청북도 옥천군,옥천경찰서,N,0,8,2019-09-01
"유치원",청산초교 병설유치원,충청북도 옥천군 청산면 지전길 36-19,충청북도 옥천군 청산면 지전리 34,36.3459357864,127.793511141,충청북도 옥천군,옥천경찰서,N,0,8,2019-09-01
"초등학교",이원초등학교,충청북도 옥천군 이원면 신흥길 25,충청북도 옥천군 이원면 강청리 14-7,36.24690722,127.622792059,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"유치원",이원초교 병설유치원,충청북도 옥천군 이원면 신흥길 25,충청북도 옥천군 이원면 강청리 14-7,36.24690722,127.622792059,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"초등학교",군서초등학교,충청북도 옥천군 군서면 성왕로 517,충청북도 옥천군 군서면 동평리 551,36.278458698,127.527573644,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"유치원",군서초교 병설유치원,충청북도 옥천군 군서면 성왕로 517,충청북도 옥천군 군서면 동평리 551,36.278458698,127.527573644,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
"초등학교",증약초등학교,충청북도 옥천군 군북면 옥천로 1006-22,충청북도 옥천군 군북면 증약리 641,36.3340461768,127.523626693,충청북도 옥천군,옥천경찰서,Y,1,4,2019-09-01
"유치원",증약초교 병설유치원,충청북도 옥천군 군북면 옥천로 1006-22,충청북도 옥천군 군북면 증약리 641,36.3340461768,127.523626693,충청북도 옥천군,옥천경찰서,Y,1,4,2019-09-01
"초등학교",청성초등학교,충청북도 옥천군 청성면 산계길 63,충청북도 옥천군 청성면 산계리 234,36.3289292111,127.759094402,충청북도 옥천군,옥천경찰서,Y,1,4,2019-09-01
"초등학교",장야초등학교,충청북도 옥천군 옥천읍 장야3길 25,충청북도 옥천군 옥천읍 장야리 168,36.2969128668,127.5793933,충청북도 옥천군,옥천경찰서,Y,1,8,2019-09-01
