"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",신백어린이집,충청북도 제천시 의병대로36길 37,충청북도 제천시 신백동 208-28,37.12904833,128.2278963,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"어린이집",청전어린이집,충청북도 제천시 의림대로 242,충청북도 제천시 청전동 97-3,37.14868519,128.216867,충청북도  제천시청,제천경찰서,Y,3,8,2019-09-23
"어린이집",은하칼비테 어린이집,충청북도 제천시 용두천로42길 23,충청북도 제천시 고암동 1131-9,37.156132,128.219375,충청북도  제천시청,제천경찰서,Y,6,8,2019-09-23
"어린이집",남부어린이집,충청북도 제천시 내토로 419,충청북도 제천시 영천동 327,37.131074,128.2042832,충청북도  제천시청,제천경찰서,Y,3,20,2019-09-23
"어린이집",천사 어린이집,충청북도 제천시 숭의로1길 18(화산동),충청북도 제천시 화산동 198-1,37.1333441287,128.2089833371,충청북도  제천시청,제천경찰서,Y,0,6,2019-09-23
"어린이집",영재어린이집,충청북도 제천시 흑석무도로2길 24(흑석동),충청북도 제천시 흑석동 423,37.135124,128.2464065636,충청북도  제천시청,제천경찰서,Y,0,6,2019-09-23
"어린이집",하얀어린이집,충청북도 제천시 신죽하로 43,충청북도 제천시 장락동 551,37.159198,128.226134,충청북도  제천시청,제천경찰서,Y,0,15,2019-09-23
"유치원",제천어린이집,충청북도 제천시 내토로11가길 10-9(서부동),충청북도 제천시 서부동 1177,37.1332117834,128.201075,충청북도  제천시청,제천경찰서,Y,7,8,2019-09-23
"유치원",씨튼어린이집,충청북도 제천시 용두대로23길 14,충청북도 제천시 하소동 345,37.1462430364,128.1972579280,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"유치원",의림어린이집,충청북도 제천시 명륜로 6,충청북도 제천시 청전동 507-18,37.1442054060,128.2020066,충청북도  제천시청,제천경찰서,Y,6,8,2019-09-23
"유치원",성모유치원,충청북도 제천시 의병대로 18길 21-6,충청북도 제천시 남천동 1338,37.1335687,128.2127546,충청북도  제천시청,제천경찰서,Y,6,8,2019-09-23
"유치원",소화유치원,충청북도 제천시 명륜로13길 5,충청북도 제천시 의림동 8-25,37.1417592406,128.2111296103,충청북도  제천시청,제천경찰서,Y,3,6,2019-09-23
"유치원",법화유치원,충청북도 제천시 의림대로30안길 4,충청북도 제천시 청전동 86-4,37.14680387,128.217537,충청북도  제천시청,제천경찰서,Y,3,6,2019-09-23
"유치원",AK유치원,충청북도 제천시 용두천로32길 7,충청북도 제천시 장락동 789,37.15047832,128.220538,충청북도  제천시청,제천경찰서,Y,7,8,2019-09-23
"유치원",장엄유치원,충청북도 제천시 의림대로2길 5,충청북도 제천시 중앙로2가 67-11,37.12872365,128.2061641,충청북도  제천시청,제천경찰서,Y,5,6,2019-09-23
"유치원",부강유치원,충청북도 제천시 용두천로32길 35,충청북도 제천시 장락동 851,37.150124,128.223513,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"유치원",극동유치원,충청북도 제천시 신백로 35,충청북도 제천시 신백동 208-10,37.12823444,128.2240032,충청북도  제천시청,제천경찰서,Y,3,8,2019-09-23
"유치원",리라유치원,충청북도 제천시 청전대로 128,충청북도 제천시 청전동 660,37.150057,128.212264,충청북도  제천시청,제천경찰서,Y,3,8,2019-09-23
"유치원",해솔유치원,충청북도 제천시 고암로14길 19,충청북도 제천시 고암동 1250-3,37.15702633,128.216013,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"유치원",제천유치원,충청북도 제천시 신죽하로 147,충청북도 제천시 고암동 1166-5,37.160222,128.214805,충청북도  제천시청,제천경찰서,Y,4,8,2019-09-23
"초등학교",장락초등학교,충청북도 제천시 죽하로 25,충청북도 제천시 장락동 626,37.15436096,128.2225106,충청북도  제천시청,제천경찰서,Y,6,8,2019-09-23
"초등학교",중앙초등학교,충청북도 제천시 고암로 7,충청북도 제천시 청전동 625,37.15297299,128.2155454,충청북도  제천시청,제천경찰서,Y,11,8,2019-09-23
"초등학교",화산초등학교,충청북도 제천시 내토로41길 18,충청북도 제천시 화산동 606,37.1298709,128.2134653,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"초등학교",의림초등학교,충청북도 제천시 독순로 33,충청북도 제천시 의림동 186,37.14168164,128.2074323,충청북도  제천시청,제천경찰서,Y,7,8,2019-09-23
"초등학교",동명초등학교,충청북도 제천시 원뜰로 35,충청북도 제천시 천남동 9-45,37.13370245,128.1939003,충청북도  제천시청,제천경찰서,Y,9,25,2019-09-23
"초등학교",남당초등학교,충청북도 제천시 청풍호로2길 4-5,충청북도 제천시 영천동 760,37.1310896,128.2020015807,충청북도  제천시청,제천경찰서,Y,4,15,2019-09-23
"초등학교",두학초등학교,충청북도 제천시 의병대로 415,충청북도 제천시 흑석동 436,37.1345097121,128.2447029033,충청북도  제천시청,제천경찰서,Y,5,15,2019-09-23
"초등학교",남천초등학교,충청북도 제천시 풍양로21안길 25,충청북도 제천시 남천동 260,37.13637685,128.217265,충청북도  제천시청,제천경찰서,Y,12,8,2019-09-23
"초등학교",홍광초등학교,충청북도 제천시 의림대로 44길 51,충청북도 제천시 모산동 396-1,37.1651787373,128.2156462675,충청북도  제천시청,제천경찰서,Y,4,8,2019-09-23
"유치원",의림유치원,충청북도 제천시 용두대로7길 13,충청북도 제천시 하소동 194-1,37.134791,128.198037,충청북도  제천시청,제천경찰서,Y,3,20,2019-09-23
"초등학교",금성초등학교,충청북도 제천시 금성면 국사봉로 1615,충청북도 제천시 금성면 구룡리 294,37.0674561593,128.1652913213,충청북도  제천시청,제천경찰서,Y,4,8,2019-09-23
"초등학교",수산초등학교,충청북도 제천시 수산면 지곡로 12,충청북도 제천시 수산면 수산리 349,36.93620081,128.1882528,충청북도  제천시청,제천경찰서,Y,2,8,2019-09-23
"초등학교",청풍초등학교,충청북도 제천시 청풍면 청풍호로 2194,충청북도 제천시 청풍면 물태리 144-3,36.9962798309,128.1648108405,충청북도  제천시청,제천경찰서,Y,2,8,2019-09-23
"초등학교",신백초등학교,충청북도 제천시 관전로1길 28,충청북도 제천시 신백동 212-7,37.1285230669,128.2267625047,충청북도  제천시청,제천경찰서,Y,6,8,2019-09-23
"초등학교",왕미초등학교,충청북도 제천시 봉양읍 용두대로 575,충청북도 제천시 봉양읍 미당리 757,37.15498956,128.1577677,충청북도  제천시청,제천경찰서,Y,6,15,2019-09-23
"초등학교",용두초등학교,충청북도 제천시 용두대로21길 36,충청북도 제천시 하소동 405,37.1437594733,128.1969396523,충청북도  제천시청,제천경찰서,Y,11,25,2019-09-23
"초등학교",내토초등학교,충청북도 제천시 관전로 99,충청북도 제천시 신백동 132,37.13422019,128.228583,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"초등학교",명지초등학교,충청북도 제천시 강명길 21,충청북도 제천시 명지동 46,37.118892,128.2054580345,충청북도  제천시청,제천경찰서,Y,4,8,2019-09-23
"초등학교",봉양초등학교,충청북도 제천시 봉양읍 팔송로 59,충청북도 제천시 봉양읍 연박리 921,37.1359684921,128.1121153333,충청북도  제천시청,제천경찰서,Y,2,8,2019-09-23
"초등학교",백운초등학교,충청북도 제천시 백운면 구학산로 45,충청북도 제천시 백운면 평동리 600,37.13974177,128.0199730610,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"초등학교",화당초등학교,충청북도 제천시 백운면 화당로 33,충청북도 제천시 백운면 화당리 84-1,37.1691976054,127.9872448458,충청북도  제천시청,제천경찰서,Y,2,8,2019-09-23
"초등학교",입석초등학교,충청북도 제천시 송학면 입석로3길 17,충청북도 제천시 송학면 입석리 609-2,37.199748,128.293308,충청북도  제천시청,제천경찰서,Y,1,8,2019-09-23
"초등학교",덕산초등학교,충청북도 제천시 덕산면 약초로7길 5,충청북도 제천시 덕산면 도전리 425,36.90753409,128.1700217,충청북도  제천시청,제천경찰서,Y,3,8,2019-09-23
"초등학교",한송초등학교,충청북도 제천시 한수면 미륵송계로6길 12,충청북도 제천시 한수면 송계리 753,36.8830089249,128.0800482689,충청북도  제천시청,제천경찰서,Y,5,8,2019-09-23
"특수학교",제천청암학교,충청북도 제천시 의병대로45길 58,충청북도 제천시 흑석동 45-1,37.14047291,128.2516839,충청북도  제천시청,제천경찰서,Y,4,8,2019-09-23
"초등학교",송학초등학교,충청북도 제천시 송학면 시곡포전로 7,충청북도 제천시 송학면 시곡리 1164-2,37.18457564,128.262151,충청북도  제천시청,제천경찰서,Y,2,8,2019-09-23
"어린이집",자연어린이집,충청북도 제천시 청전대로9길 15,충청북도 제천시 청전동 412-1,37.14903574,128.206807,충청북도  제천시청,제천경찰서,N,,,2019-09-23
"유치원",경희숲유치원,충청북도 제천시 의병대로 282,충청북도 제천시 신백동 16-3,37.1316696,128.2316072,충청북도  제천시청,제천경찰서,N,,,2019-09-23
"어린이집",숲속마을어린이집,충청북도 제천시 탑안로1길 22,충청북도 제천시 신백동 335-1,37.13379957,128.223903,충청북도  제천시청,제천경찰서,N,,,2019-09-23
"어린이집",샛별어린이집,충청북도 제천시 용두대로5길 29,충청북도 제천시 하소동 207-1,37.13294779,128.1958285,충청북도  제천시청,제천경찰서,N,,,2019-09-23
