"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",한천초등학교,충청북도 진천군 덕산면 초금로687-2,충청북도 진천군 덕산면 용몽리 518-3,36.905773,127.508604,충청북도 진천군,진천경찰서,y,9,9.8,2019-06-07
"초등학교",진천상신초등학교,충청북도 진천군 덕산면 대월로 107,충청북도 진천군 덕산면 두촌리 2596,36.923316,127.466591,충청북도 진천군,진천경찰서,y,2,10,2019-06-07
"초등학교",초평초등학교,충청북도 진천군 초평면 초동로 143,충청북도 진천군 초평면 금곡리 593,36.903164,127.540341,충청북도 진천군,진천경찰서,y,9,6,2019-06-07
"유치원",초평초교 병설유치원,충청북도 진천군 초평면 초동로 143,충청북도 진천군 초평면 금곡리 593,36.847466,127.5378308,충청북도 진천군,진천경찰서,y,9,6,2019-06-07
"초등학교",문상초등학교,충청북도 진천군 문백면 농다리로 1232,충청북도 진천군 문백면 사양리 38-1,36.837478,127.472077,충청북도 진천군,진천경찰서,y,3,5.8,2019-06-07
"유치원",문상초교 병설유치원,충청북도 진천군 문백면 농다리로 1232,충청북도 진천군 문백면 사양리 38-1,36.837478,127.472077,충청북도 진천군,진천경찰서,y,3,5.8,2019-06-07
"초등학교",이월초등학교,충청북도 진천군 이월면 송림6길 26,충청북도 진천군 이월면 송림리 667,36.930905,127.431141,충청북도 진천군,진천경찰서,y,9,7,2019-06-07
"유치원",이월초교 병설유치원,충청북도 진천군 이월면 송림6길 26,충청북도 진천군 이월면 송림리 667,36.930905,127.431141,충청북도 진천군,진천경찰서,y,9,7,2019-06-07
"초등학교",만승초등학교,충청북도 진천군 광혜원면 중리길11,충청북도 진천군 광혜원면 광혜원리79,36.9923095,127.442108,충청북도 진천군,진천경찰서,y,18,6.5,2019-06-07
"어린이집",동산어린이집,충청북도 진천군 진천읍 중앙동2길 7,충청북도 진천군 진천읍 읍내리 70-2,36.855161,127.443942,충청북도 진천군,진천경찰서,y,1,3.5,2019-06-07
"어린이집",만승어린이집,충청북도 진천군 광혜원면 화랑2길 17,충청북도 진천군 광혜원면 광혜원리529-20,36.993386,127.438157,충청북도 진천군,진천경찰서,y,1,4.5,2019-06-07
"유치원",한천초교 병설유치원,충청북도 진천군 덕산면 초금로687-2,충청북도 진천군 덕산면 용몽리 518-3,36.905773,127.508604,충청북도 진천군,진천경찰서,y,9,9.8,2019-06-07
