"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",한벌초교,충청북도 청주시 서원구 흥덕로 16 (사직동),충청북도 청주시 서원구 사직1동560,36.637065,127.474738,청주시,청원,Y,5,4~8,2018-08-17
"유치원",한벌초교 병설유치원,충청북도 청주시 서원구 흥덕로 16 (사직동),충청북도 청주시 서원구 사직1동560,36.637074,127.474500,청주시,청원,Y,,4~8,2018-08-17
"초등학교",봉명초교,충청북도 청주시 흥덕구 봉명로141번길 3 (봉명동),충청북도 청주시 흥덕구 봉명1동205,36.639915,127.456425,청주시,흥덕,Y,9,4~8,2018-08-17
"유치원",봉명초교 병설유치원,충청북도 청주시 흥덕구 봉명로141번길 3 (봉명동),충청북도 청주시 흥덕구 봉명1동205,36.639840,127.456238,청주시,흥덕,Y,,4~8,2018-08-17
"초등학교",교동초교,충청북도 청주시 상당구 용암로 6 (용암동),충청북도 청주시 상당구 용암2084,36.610584,127.510498,청주시,상당,Y,5,4~8,2018-08-17
"유치원",교동초교 병설유치원,충청북도 청주시 상당구 용암로 6 (용암동),충청북도 청주시 상당구 용암2084,36.609935,127.510851,청주시,상당,Y,,4~8,2018-08-17
"초등학교",북일초교,충청북도 청주시 청원구 주중로 13-19 (주중동),충청북도 청주시 청원구 주중동428,36.689529,127.485806,청주시,청원,Y,4,4~8,2018-08-17
"유치원",북일초교 병설유치원,충청북도 청주시 청원구 주중로 13-19 (주중동),충청북도 청주시 청원구 주중동428,36.689550,127.486360,청주시,청원,Y,,4~8,2018-08-17
"초등학교",석교초교,충청북도 청주시 상당구 대성로 14 (석교동),충청북도 청주시 상당구 석교동10,36.626743,127.494173,청주시,상당,Y,7,4~8,2018-08-17
"유치원",석교초교 병설유치원,충청북도 청주시 상당구 대성로 14 (석교동),충청북도 청주시 상당구 석교동10,36.626572,127.494542,청주시,상당,Y,,4~8,2018-08-17
