"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",백합어린이집,충청북도 충주시 용정2길 34,충청북도 충주시 용산동 335,36.9669703913,127.937310,충청북도 충주시,충주경찰서,Y,,,2019-05-08
"어린이집",하얀어린이집,충청북도 충주시 동수11길 28-1,충청북도 충주시 연수동 472-12,36.9852094721,127.937066,충청북도 충주시,충주경찰서,Y,2,8,2019-05-08
"어린이집",큰나무어린이집,충청북도 충주시 만리산15길 9-2,충청북도 충주시 교현동 143-7,36.974251,127.942805,충청북도 충주시,충주경찰서,Y,1,6.5,2019-05-08
"어린이집",무궁화어린이집,충청북도 충주시 대흥7길 6,충청북도 충주시 교현동 571-9,36.979817,127.930637,충청북도 충주시,충주경찰서,Y,2,6.5,2019-05-08
"어린이집",단비어린이집,충청북도 충주시 예성로 401,충청북도 충주시 연수동 686,36.9922775182,127.9315564515,충청북도 충주시,충주경찰서,Y,2,8,2019-05-08
"어린이집",파랑새어린이집,충청북도 충주시 호암중앙1로 6,충청북도 충주시 호암동 174,36.9534213409,127.939674,충청북도 충주시,충주경찰서,Y,2,8,2019-05-08
"어린이집",하은어린이집,충청북도 충주시 금제로 17,충청북도 충주시 금릉동 120-22,36.989035,127.923439,충청북도 충주시,충주경찰서,Y,2,8,2019-05-08
"어린이집",은빛어린이집,충청북도 충주시 행정13길 24,충청북도 충주시 목행동 591-6,37.0149029394,127.9192973891,충청북도 충주시,충주경찰서,Y,2,7,2019-05-08
"어린이집",세종어린이집,충청북도 충주시 도장관주로 23,충청북도 충주시 호암동 752-4,36.951907,127.921367,충청북도 충주시,충주경찰서,Y,2,3.5,2019-05-08
"어린이집",엄지어린이집,충청북도 충주시 만리산1길 22,충청북도 충주시 교현동 1188-19,36.972539,127.940119,충청북도 충주시,충주경찰서,Y,4,6,2019-05-08
"어린이집",아기사랑어린이집,충청북도 충주시 금봉4길 3,충청북도 충주시 용산동 1610,36.962161,127.941391,충청북도 충주시,충주경찰서,Y,2,8,2019-05-08
"어린이집",은동어린이집,충청북도 충주시 칠지8길 7,충청북도 충주시 칠금동 378,36.988131,127.909736,충청북도 충주시,충주경찰서,Y,2,6,2019-05-08
"어린이집",멜리오어린이집,충청북도 충주시 신촌11길7,충청북도 충주시 호암동 543,36.959911,127.930423,충청북도 충주시,충주경찰서,Y,2,6,2019-05-08
"어린이집",신세계I어린이집,충청북도 충주시 새말1길 12,충청북도 충주시 칠금동 289-5,36.9823582593,127.907868,충청북도 충주시,충주경찰서,Y,2,6,2019-05-08
"어린이집",착한몬테소리어린이집,충청북도 충주시 천변로 153-1,충청북도 충주시 교현2동 655-3,36.977563,127.925771,충청북도 충주시,충주경찰서,Y,2,3.5,2019-05-08
"어린이집",N키즈하우스어린이집,충청북도 충주시 중원대로 3377,충청북도 충주시 문화동 2274,36.968562,127.9231463192,충청북도 충주시,충주경찰서,Y,1,25,2019-05-08
"어린이집",충주어린이집,충청북도 충주시 원호암 4길 12,충청북도 충주시 호암동 127-2,36.9543907496,127.938799,충청북도 충주시,충주경찰서,Y,2,3.5,2019-05-08
"어린이집",단월어린이집,충청북도 충주시 신대1길 9,충청북도 충주시 단월동 273-3,36.943315,127.898447,충청북도 충주시,충주경찰서,Y,3,3.5,2019-05-08
